source_id,type,flux_band1,log_flux_band1,flux_band2,log_flux_band2,flux_band3,log_flux_band3,flux_band4,log_flux_band4,flux_band5,log_flux_band5,hr1,hr2,hr3,hr4,extent,log_extent,variability,ra,dec,recon_error,error_sigma,xmm_class
31593,anomaly,4.639614462963203e-13,-12.3335,9.996562315551687e-14,-13.0001,1.619433738966265e-13,-12.7906,7.714028020929957e-13,-12.1127,9.702490831782383e-13,-12.0131,-0.6455,0.2366,0.653,0.1142,0.295,-0.5303,10.402,293.93113,51.99329,1.016455,16.37302,extreme_variable
81450,anomaly,4.104316052825372e-14,-13.3868,1.0693501869739865e-13,-12.9709,3.1859105911670937e-15,-14.4968,1.1944329171770642e-14,-13.9228,1.7110994753860394e-13,-12.7667,0.4453,-0.9421,0.5789,0.8695,2.114,0.3252,15.087,233.87209,-39.55362,1.0092094,16.249264,compton_thick_candidate
99093,anomaly,2.058626575341568e-15,-14.6864,9.604043969775985e-15,-14.0175,7.424260669019847e-14,-13.1293,2.256317424551154e-15,-14.6466,2.3084045732150476e-14,-13.6367,0.647,0.7709,-0.941,0.8219,2.909,0.4637,12.462,258.39062,-20.81901,0.95725983,15.361971,ultra_hard_spectrum
80010,anomaly,8.656890947735198e-15,-14.0626,3.7397515326530256e-14,-13.4272,1.694206821573854e-14,-13.771,2.863345304535155e-14,-13.5431,2.8353398985822966e-13,-12.5474,0.6241,-0.3764,0.2565,0.8166,0.063,-1.0,26.775,316.16334,-9.65583,0.95661217,15.350909,ultra_hard_spectrum
75963,anomaly,5.352719348726061e-12,-11.2714,5.1892163262750475e-12,-11.2849,6.073378050038191e-12,-11.2166,1.8341878527175055e-11,-10.7366,3.840823100261771e-12,-11.4156,-0.0155,0.0785,0.5025,-0.6537,0.315,-0.5013,28.176,48.70619,15.93491,0.9388374,15.0473175,extreme_variable
8393,anomaly,1.891108592825702e-12,-11.7233,2.1416211135105903e-12,-11.6693,3.9676925246963825e-13,-12.4015,3.628676719880227e-12,-11.4403,1.7703379560342918e-12,-11.7519,0.0621,-0.6874,0.8029,-0.3442,1.48,0.1702,14.315,181.47016,39.71002,0.9383029,15.038188,extreme_variable
15494,anomaly,4.8992428937239364e-12,-11.3099,5.6785187134351664e-12,-11.2458,1.952448857008747e-12,-11.7094,1.7608153592217072e-11,-10.7543,5.748191507055353e-12,-11.2405,0.0737,-0.4883,0.8004,-0.5078,1.953,0.2906,14.17,176.25055,61.02696,0.92858595,14.872224,extreme_variable
59572,anomaly,3.6943331161110374e-12,-11.4325,6.389804154370705e-12,-11.1945,7.33098441625543e-12,-11.1348,6.020544361426001e-11,-10.2204,9.390391174921046e-13,-12.0273,0.2673,0.0686,0.7829,-0.9693,2.758,0.4405,27.163,259.45453,79.01013,0.9266809,14.839686,extreme_variable
37025,anomaly,1.86614119056038e-14,-13.7291,1.9613608476993435e-14,-13.7074,4.5033479944509424e-13,-12.3465,4.014661005814769e-14,-13.3964,1.7693140628309253e-14,-13.7522,0.0249,0.9165,-0.8363,-0.3882,0.067,-1.0,29.319,333.82624,-69.27325,0.9140828,14.624512,extreme_variable
50512,anomaly,7.727964385872123e-12,-11.1119,2.720835562260006e-12,-11.5653,6.852818360289388e-13,-12.1641,4.3785945704926315e-12,-11.3587,1.25335488616467e-12,-11.9019,-0.4792,-0.5976,0.7293,-0.5549,0.13,-0.8847,16.068,71.21056,23.42737,0.90203637,14.418759,extreme_variable
53018,anomaly,2.290149343861118e-11,-10.6401,1.628943889805931e-11,-10.7881,1.3363353922130642e-12,-11.8741,5.216890421880913e-12,-11.2826,1.916784358133481e-12,-11.7174,-0.1687,-0.8484,0.5922,-0.4626,1.07,0.0293,18.358,326.85137,-59.07115,0.899995,14.383894,extreme_variable
97988,anomaly,3.4705877026189814e-12,-11.4596,4.4525884574413245e-12,-11.3514,2.271598688152028e-12,-11.6437,1.694318673086203e-11,-10.771,1.2700280382056857e-12,-11.8962,0.1239,-0.3243,0.7636,-0.8605,0.35,-0.4559,22.575,308.12923,-32.64272,0.899121,14.368965,extreme_variable
13446,anomaly,4.807474967147054e-13,-12.3181,3.911376961291355e-13,-12.4077,7.424175597006147e-14,-13.1294,3.0407806427260715e-13,-12.517,1.2919630604050633e-12,-11.8887,-0.1028,-0.6809,0.6075,0.619,0.001,-1.0,18.75,265.17789,-76.05364,0.897779,14.346044,compton_thick_candidate
13040,anomaly,2.4067096746592155e-12,-11.6186,7.893238578334127e-12,-11.1027,2.1177388822508515e-11,-10.6741,1.3706277924710068e-11,-10.8631,1.391696071577965e-12,-11.8565,0.5327,0.457,-0.2142,-0.8156,0.09,-1.0,27.329,70.53235,1.12967,0.8689532,13.853703,extreme_variable
70707,anomaly,2.1153419960056156e-12,-11.6746,3.316923349236408e-12,-11.4793,2.7658272574853093e-13,-12.5582,7.604463763029576e-12,-11.1189,1.3131989102889449e-12,-11.8817,0.2212,-0.8461,0.9298,-0.7055,1.49,0.1732,16.042,284.35683,-4.98519,0.86083734,13.715084,extreme_variable
42612,anomaly,1.97523471325076e-11,-10.7044,6.147239884689857e-12,-11.2113,2.43520887968224e-12,-11.6135,1.738867224368451e-11,-10.7597,5.3577442038457765e-12,-11.271,-0.5253,-0.4325,0.7543,-0.5289,1.537,0.1868,27.513,136.03515,-34.39041,0.8446169,13.438041,extreme_variable
89563,anomaly,2.9367386226021294e-11,-10.5321,1.3506293809914551e-11,-10.8695,8.128126108897787e-13,-12.09,1.6765442495383172e-12,-11.7756,4.30395022654629e-13,-12.3661,-0.3699,-0.8865,0.347,-0.5914,1.804,0.2562,17.389,245.02708,-10.07996,0.8433179,13.415854,extreme_variable
94886,anomaly,1.0088192903333633e-12,-11.9962,1.2301242860332238e-13,-12.9101,8.424932780147035e-12,-11.0744,5.96535403167637e-14,-13.2244,1.668059344077304e-12,-11.7778,-0.7826,0.9712,-0.9859,0.9309,1.435,0.1569,11.886,289.23287,63.2765,0.8314615,13.213347,extreme_variable
1744,anomaly,2.4891510340425146e-12,-11.6039,2.1054235195945134e-12,-11.6767,9.698308007541065e-14,-13.0133,5.365307575849868e-13,-12.2704,2.025670645348096e-12,-11.6934,-0.0835,-0.9119,0.6938,0.5812,0.217,-0.6632,25.979,29.5364,-67.81625,0.8239913,13.085757,compton_thick_candidate
90166,anomaly,7.454196219796668e-13,-12.1276,2.88028802728545e-12,-11.5406,2.5362160596545447e-13,-12.5958,5.315509830688206e-13,-12.2745,6.512506703639007e-12,-11.1863,0.5888,-0.8381,0.354,0.8491,1.654,0.2185,12.212,14.74804,53.93148,0.8226081,13.062133,extreme_variable
33989,anomaly,2.9596184289599828e-15,-14.5288,1.0476674376263943e-13,-12.9798,3.53553141570156e-14,-13.4515,1.6537981507603526e-14,-13.7815,5.13212079542909e-14,-13.2897,0.9451,-0.4954,-0.3626,0.5126,3.0,0.4771,10.9,239.1873,59.09143,0.816735,12.961821,ultra_hard_spectrum
28000,anomaly,1.7497536624725076e-13,-12.757,2.882060709043087e-12,-11.5403,2.5884343067627225e-11,-10.587,2.927856317196231e-12,-11.5335,1.215054940916197e-12,-11.9154,0.8855,0.7996,-0.7968,-0.4134,1.535,0.1862,29.432,150.87057,-71.41751,0.81415683,12.917786,extreme_variable
98534,anomaly,5.4694438947131285e-11,-10.2621,7.053891014693011e-12,-11.1516,2.964177900400785e-12,-11.5281,1.972338324594388e-11,-10.705,6.4329023220114844e-12,-11.1916,-0.7715,-0.4082,0.7387,-0.5081,1.121,0.0497,22.429,111.19582,73.42407,0.81289816,12.896287,extreme_variable
18687,anomaly,3.600333319018078e-14,-13.4437,3.1502793064789793e-13,-12.5017,2.1503033598245047e-13,-12.6675,2.3646147523012485e-14,-13.6262,1.3804832339514455e-13,-12.86,0.7949,-0.1887,-0.8019,0.7075,0.303,-0.5182,10.309,312.73353,-34.68955,0.8116033,12.874171,extreme_variable
12580,anomaly,1.5345115726613446e-11,-10.814,8.142832165666409e-12,-11.0892,2.1277467208520053e-12,-11.6721,5.2163490560625924e-12,-11.2826,1.7584695645537457e-12,-11.7549,-0.3066,-0.5857,0.4206,-0.4958,2.235,0.3494,21.41,48.83193,55.79068,0.8096494,12.840799,extreme_variable
97700,anomaly,1.5142404955911705e-12,-11.8198,3.4912138619764923e-13,-12.457,8.426705814009329e-14,-13.0743,4.3214746274403886e-13,-12.3644,6.039260030919207e-14,-13.219,-0.6253,-0.6111,0.6736,-0.7548,0.056,-1.0,10.578,105.49195,-32.34667,0.8071143,12.7975,super_soft_source
61163,anomaly,1.1426896401874393e-13,-12.9421,4.427400680526562e-13,-12.3539,2.942777469840064e-12,-11.5312,1.3072453385067283e-12,-11.8836,6.452018402702531e-13,-12.1903,0.5897,0.7385,-0.3848,-0.3391,0.029,-1.0,29.007,191.17452,-15.72206,0.80485624,12.758932,extreme_variable
23111,anomaly,1.2548312988085912e-13,-12.9014,3.164808588309451e-14,-13.4997,2.4351730243824603e-15,-14.6135,1.5715873760850975e-14,-13.8037,5.409770329073017e-14,-13.2668,-0.5972,-0.8571,0.7317,0.5498,0.212,-0.6743,17.845,109.07525,-57.06121,0.79340905,12.563416,super_soft_source
49045,anomaly,5.594789172037593e-15,-14.2522,4.5960068924202515e-14,-13.3376,2.1836396459835652e-14,-13.6608,1.4052389774350982e-15,-14.8522,2.355711947323641e-14,-13.6279,0.783,-0.3558,-0.8791,0.8874,0.923,-0.035,15.539,223.53941,2.91412,0.7911358,12.524589,extreme_variable
27930,anomaly,1.4310424384273194e-14,-13.8443,6.266540885718022e-14,-13.203,3.273507462611099e-14,-13.485,2.318651031913682e-15,-14.6348,1.89036489567123e-13,-12.7235,0.6282,-0.3137,-0.8677,0.9758,2.979,0.4741,14.903,117.07503,65.84235,0.78578377,12.433176,ultra_hard_spectrum
70555,anomaly,5.4470534010791264e-15,-14.2638,1.0091076423625792e-13,-12.9961,1.7536823301557853e-14,-13.756,5.433188867193378e-15,-14.2649,1.757488448775293e-13,-12.7551,0.8976,-0.7039,-0.5269,0.94,0.621,-0.2066,29.097,316.52319,-13.41845,0.78564817,12.4308605,ultra_hard_spectrum
65569,agn,1.57432628384501e-13,-12.8029,8.697976996945194e-14,-13.0606,2.829057388490151e-13,-12.5484,2.7028605607427137e-13,-12.5682,1.0256369820338303e-13,-12.989,-0.2883,0.5297,-0.0228,-0.4498,2.628,0.4196,3.827,3.65951,-54.72849,0.7820997,12.370253,unclassified
40069,anomaly,4.047907378023371e-12,-11.3928,3.3799789630148857e-12,-11.4711,3.707006232486301e-12,-11.431,1.6085832927999005e-11,-10.7936,4.868884052821403e-13,-12.3126,-0.0899,0.0461,0.6254,-0.9412,1.845,0.2659,12.154,95.33104,-21.17675,0.7782489,12.3044815,extreme_variable
61715,anomaly,1.1086826570316348e-11,-10.9552,6.292744869483183e-12,-11.2012,1.91529088855712e-12,-11.7178,5.933149527911335e-12,-11.2267,2.5253243345290214e-12,-11.5977,-0.2758,-0.5333,0.5119,-0.4029,1.0,0.0001,23.044,218.2674,11.02405,0.7767456,12.278806,extreme_variable
45025,anomaly,6.408982880434884e-15,-14.1932,3.739274555290651e-15,-14.4272,2.6970750805797542e-14,-13.5691,1.5736556023299423e-15,-14.8031,1.835064314790368e-14,-13.7363,-0.2631,0.7565,-0.8897,0.842,1.678,0.2248,10.719,281.94389,-61.57232,0.7737401,12.227471,extreme_variable
54736,anomaly,1.0685446072998296e-12,-11.9712,1.2861891743963803e-11,-10.8907,3.161310606190012e-12,-11.5001,5.573179204261652e-13,-12.2539,6.062181553902209e-12,-11.2174,0.8466,-0.6054,-0.7003,0.8316,0.077,-1.0,28.725,119.18668,45.5402,0.7707574,12.176527,extreme_variable
88120,anomaly,2.7090691961088397e-13,-12.5672,2.286875112557239e-13,-12.6408,8.033041871626371e-14,-13.0951,6.015936448178332e-13,-12.2207,7.989922480501477e-13,-12.0975,-0.0845,-0.4801,0.7644,0.1409,1.049,0.0208,13.723,41.3081,-32.89064,0.7705461,12.172918,extreme_variable
37773,anomaly,3.773947721277493e-12,-11.4232,1.5232288302762636e-11,-10.8172,4.6063669832461714e-11,-10.3366,3.351653556378273e-11,-10.4747,2.220173078309059e-12,-11.6536,0.6029,0.503,-0.1577,-0.8757,0.136,-0.8673,26.002,57.99778,66.88625,0.76802176,12.129803,extreme_variable
28865,anomaly,5.817794832574928e-12,-11.2352,5.618555577895678e-12,-11.2504,5.061043551109772e-12,-11.2958,9.40062961678766e-12,-11.0268,2.1576469964660123e-12,-11.666,-0.0174,-0.0522,0.3001,-0.6266,1.547,0.1896,29.454,55.5371,-62.11302,0.76389134,12.059256,extreme_variable
5775,anomaly,2.3632370222938756e-12,-11.6265,4.2045496815066854e-11,-10.3763,7.674147128481986e-12,-11.115,3.4975731132630787e-12,-11.4562,3.337558236619386e-11,-10.4766,0.8936,-0.6913,-0.3739,0.8103,0.25,-0.6023,13.034,252.55174,-9.80512,0.7596183,11.986272,ultra_hard_spectrum
86228,anomaly,8.516580827585306e-14,-13.0697,1.815785760537498e-14,-13.7409,1.968490717089063e-14,-13.7059,1.9840912905754496e-15,-14.7024,3.2302689611252824e-14,-13.4908,-0.6485,0.0404,-0.8169,0.8843,1.34,0.1272,10.405,320.58747,-27.33726,0.754457,11.898118,extreme_variable
79395,anomaly,2.9069279091210916e-13,-12.5366,2.1033551372990794e-13,-12.6771,2.6005365618637113e-14,-13.5849,8.700538973232587e-13,-12.0605,5.064888898665764e-14,-13.2954,-0.1604,-0.7799,0.942,-0.89,0.133,-0.8767,15.42,204.3288,38.942,0.754042,11.89103,extreme_variable
17060,anomaly,2.2875694783160364e-12,-11.6406,2.0546000352679218e-11,-10.6873,3.7173459084890894e-12,-11.4298,1.167273206439892e-10,-9.9328,2.9190283939661874e-12,-11.5348,0.7996,-0.6936,0.9383,-0.9512,0.66,-0.1803,12.369,35.96171,-35.38962,0.7532205,11.876999,extreme_variable
60429,anomaly,7.079564652816348e-13,-12.15,8.996174956452933e-14,-13.0459,3.3719953722175768e-12,-11.4721,5.5586097485073e-13,-12.255,2.058019314959215e-13,-12.6866,-0.7745,0.948,-0.717,-0.4596,0.142,-0.8481,25.364,212.15476,-25.98339,0.7520915,11.857716,extreme_variable
72466,anomaly,1.9292684390285e-11,-10.7146,2.4328758295782418e-11,-10.6139,1.5633963864365732e-12,-11.8059,9.952932863538147e-12,-11.002,1.6451422918909135e-11,-10.7838,0.1154,-0.8792,0.7285,0.2461,2.998,0.4768,18.366,243.44954,10.74756,0.7455532,11.746042,extreme_variable
83573,anomaly,7.714865644373896e-12,-11.1127,1.513317005977084e-11,-10.8201,2.456222023937486e-12,-11.6097,2.1267199857483893e-11,-10.6723,2.134996103816408e-12,-11.6706,0.3247,-0.7207,0.7929,-0.8175,2.973,0.4731,16.268,118.54024,-46.08928,0.74289185,11.700586,extreme_variable
18586,anomaly,9.081595035313098e-13,-12.0418,8.114455351305646e-13,-12.0907,8.92883440087595e-13,-12.0492,5.781555090698747e-12,-11.238,2.780647856213228e-12,-11.5559,-0.0562,0.0478,0.7324,-0.3505,1.687,0.227,15.399,296.52776,-50.02369,0.7363971,11.589657,extreme_variable
92093,anomaly,9.161531310014077e-12,-11.038,6.334094329188801e-12,-11.1983,3.044343718623361e-13,-12.5165,6.601930313661506e-13,-12.1803,2.8599430689537174e-12,-11.5436,-0.1825,-0.9083,0.3688,0.6249,2.544,0.4055,13.76,240.40555,73.22891,0.73238355,11.521106,extreme_variable
99139,anomaly,6.8312109766523085e-15,-14.1655,9.039718193857243e-15,-14.0438,6.857728406526708e-16,-15.1638,1.9031685618806852e-14,-13.7205,2.3505865194030243e-14,-13.6288,0.1392,-0.859,0.9304,0.1052,1.717,0.2348,10.172,315.7533,77.68631,0.73182863,11.511627,extreme_variable
73853,anomaly,2.1173505391561368e-14,-13.6742,1.2648461668628546e-14,-13.898,8.773602274768648e-15,-14.0568,7.52616893373614e-16,-15.1234,4.0953417445729555e-14,-13.3877,-0.2521,-0.1809,-0.842,0.9639,1.991,0.299,14.438,12.08329,-44.75685,0.72711504,11.43112,extreme_variable
1051,anomaly,6.601516021284314e-13,-12.1804,4.5039689294890506e-13,-12.3464,2.0600721024120883e-12,-11.6861,7.459931168660442e-12,-11.1273,3.0571787500824755e-12,-11.5147,-0.1889,0.6412,0.5672,-0.4186,0.415,-0.3817,26.338,323.81996,47.27756,0.72592276,11.410756,extreme_variable
54534,anomaly,2.7262213909687654e-13,-12.5644,4.910757202653604e-12,-11.3089,2.3086735922567002e-12,-11.6366,3.4238935617053184e-13,-12.4655,2.4713023785360844e-12,-11.6071,0.8948,-0.3604,-0.7417,0.7566,2.555,0.4074,12.091,139.07734,21.59,0.72347677,11.3689785,extreme_variable
48075,anomaly,2.7818954635434847e-14,-13.5557,1.9982792639717963e-13,-12.6993,4.053952673985407e-15,-14.3921,8.638500464061873e-15,-14.0636,5.461722344665145e-14,-13.2627,0.7556,-0.9602,0.3612,0.7269,1.95,0.29,17.473,188.42051,-10.65774,0.72315043,11.363405,extreme_variable
52769,anomaly,3.143343256885274e-15,-14.5026,4.918260194045128e-15,-14.3082,6.306950601046297e-16,-15.2002,1.5251395561484844e-14,-13.8167,3.7248333148441953e-14,-13.4289,0.2202,-0.7727,0.9206,0.419,0.093,-1.0,19.631,185.04006,2.16618,0.72251683,11.352583,compton_thick_candidate
45125,anomaly,3.857550207443742e-12,-11.4137,1.3603107320125168e-12,-11.8664,8.482661763111894e-14,-13.0715,8.586927886155288e-13,-12.0662,8.446238601813243e-13,-12.0733,-0.4786,-0.8826,0.8202,-0.0083,1.817,0.2593,14.315,263.07864,-87.70204,0.7224426,11.3513155,extreme_variable
68373,anomaly,1.347463537618267e-13,-12.8705,4.665871020228876e-14,-13.3311,5.596374703925436e-15,-14.2521,3.580381354609214e-15,-14.4461,2.5582679812639865e-14,-13.5921,-0.4856,-0.7858,-0.2197,0.7545,0.141,-0.8493,19.625,24.94288,-20.09523,0.722416,11.350861,extreme_variable
35506,anomaly,5.254494968100482e-13,-12.2795,4.732601497510086e-12,-11.3249,2.133983461938881e-13,-12.6708,1.8330151701360894e-12,-11.7368,1.283539854814952e-13,-12.8916,0.8001,-0.9137,0.7914,-0.8691,2.575,0.4108,10.806,296.62808,-35.41875,0.7217447,11.3393955,extreme_variable
91239,anomaly,9.455931839021977e-14,-13.0243,2.1350726461954861e-13,-12.6706,5.843753923478439e-14,-13.2333,5.6507901396606045e-14,-13.2479,5.382746815091867e-13,-12.269,0.3861,-0.5702,-0.0168,0.81,0.138,-0.8593,12.077,157.21433,45.42444,0.721372,11.33303,extreme_variable
39274,anomaly,5.9933673137657004e-15,-14.2223,2.4244749986050622e-14,-13.6154,1.0026296629020182e-13,-12.9989,4.530567230496236e-15,-14.3438,2.926926127721945e-13,-12.5336,0.6036,0.6106,-0.9135,0.9695,2.518,0.4011,21.45,134.12417,73.97678,0.7157561,11.237111,ultra_hard_spectrum
98303,anomaly,3.2860360821350553e-12,-11.4833,1.8803813641318974e-12,-11.7258,5.269033335642659e-13,-12.2783,2.7345081130537893e-12,-11.5631,1.9854213588885175e-12,-11.7021,-0.2721,-0.5622,0.6769,-0.1587,2.214,0.3453,21.292,53.14347,53.9142,0.7157108,11.236337,extreme_variable
97133,anomaly,3.619479099745e-11,-10.4414,6.809524181570274e-12,-11.1669,3.560297643216144e-12,-11.4485,6.432552962412922e-12,-11.1916,1.759977760157712e-12,-11.7545,-0.6833,-0.3133,0.2874,-0.5703,1.214,0.0841,25.564,270.22317,12.80372,0.71441174,11.2141485,extreme_variable
34108,anomaly,4.24737013942291e-12,-11.3719,1.1700758273593083e-12,-11.9318,1.0018533434141212e-11,-10.9992,1.5859255215820715e-11,-10.7997,3.2421113902520535e-12,-11.4892,-0.568,0.7908,0.2257,-0.6605,2.688,0.4294,28.083,357.84971,-5.04856,0.71186334,11.170623,extreme_variable
88624,anomaly,1.0344066754596652e-11,-10.9853,4.139073838608432e-12,-11.3831,1.2759753025846956e-11,-10.8942,8.364121128564508e-12,-11.0776,1.0291973422389759e-12,-11.9875,-0.4284,0.5101,-0.2081,-0.7809,0.384,-0.4155,25.327,101.99073,6.03795,0.7112139,11.15953,extreme_variable
27539,anomaly,1.4142951235478105e-12,-11.8495,8.056737094031605e-13,-12.0938,1.0886983313774955e-12,-11.9631,2.0269873687509103e-12,-11.6931,5.107382117878295e-13,-12.2918,-0.2742,0.1494,0.3012,-0.5975,0.156,-0.8067,21.527,232.19531,-82.40309,0.7083424,11.110485,extreme_variable
88147,anomaly,2.594030505455319e-11,-10.586,2.0261869986706652e-11,-10.6933,2.502452617643684e-12,-11.6016,9.317701004880665e-12,-11.0307,7.555049733097719e-12,-11.1218,-0.1229,-0.7801,0.5766,-0.1045,2.051,0.3119,20.201,66.23576,14.21497,0.7054202,11.060575,extreme_variable
62492,anomaly,3.0072315950648692e-12,-11.5218,1.1610603798166684e-12,-11.9351,2.56001961625617e-12,-11.5918,4.406116497382571e-12,-11.3559,2.2791557095798726e-13,-12.6422,-0.4429,0.376,0.265,-0.9016,0.175,-0.7579,17.404,343.42729,52.51383,0.70457524,11.046143,extreme_variable
9604,anomaly,3.3636966705466483e-13,-12.4732,2.360972361865369e-13,-12.6269,1.849267411161499e-12,-11.733,7.528545382603223e-14,-13.1233,7.400724524273865e-13,-12.1307,-0.1752,0.7736,-0.9218,0.8153,0.025,-1.0,12.323,210.45675,-42.40409,0.7020623,11.0032215,extreme_variable
94751,anomaly,1.4022788352864074e-14,-13.8532,9.750259774057567e-14,-13.011,3.460536266141339e-12,-11.4609,2.8761235150013526e-14,-13.5412,4.929456176821076e-14,-13.3072,0.7485,0.9452,-0.9835,0.2631,0.46,-0.3373,25.049,81.15705,-64.15084,0.7019441,11.001203,extreme_variable
25806,anomaly,7.084335727257197e-12,-11.1497,1.7078672064743169e-12,-11.7675,1.6595756601030695e-12,-11.78,4.190450823006833e-12,-11.3777,4.2119183748840483e-13,-12.3755,-0.6115,-0.0143,0.4326,-0.8173,0.341,-0.4675,24.258,80.11581,13.31804,0.696018,10.899985,extreme_variable
10538,anomaly,2.656847654696219e-13,-12.5756,1.251079421142557e-13,-12.9027,1.4263129251679145e-14,-13.8458,1.1681539589033566e-13,-12.9325,2.71481404443881e-13,-12.5663,-0.3597,-0.7953,0.7824,0.3983,1.994,0.2997,11.986,343.30578,-33.18622,0.69577795,10.895885,compton_thick_candidate
5072,anomaly,5.955014531223582e-14,-13.2251,8.395897167227571e-14,-13.0759,1.15093441827553e-12,-11.9389,1.8449464145618463e-12,-11.734,1.4008873137873552e-13,-12.8536,0.1701,0.864,0.2317,-0.8589,0.751,-0.1246,26.615,304.47907,18.29702,0.6911992,10.81768,extreme_variable
45705,anomaly,4.187215873487305e-15,-14.3781,4.537742557468822e-15,-14.3432,2.0069879468252797e-14,-13.6975,2.0961455590000478e-15,-14.6786,9.017088355781919e-14,-13.0449,0.0402,0.6312,-0.8109,0.9546,0.275,-0.5603,25.903,36.96754,-61.05744,0.6878303,10.76014,ultra_hard_spectrum
14318,anomaly,6.502628578238098e-12,-11.1869,9.18025518442701e-12,-11.0371,1.2283880971744737e-12,-11.9107,3.028790964394172e-12,-11.5187,7.546149822260483e-12,-11.1223,0.1707,-0.764,0.4229,0.4272,2.418,0.3835,11.191,255.78879,-32.35844,0.6856086,10.722195,extreme_variable
64015,anomaly,1.6427088289351957e-13,-12.7844,2.7365907718307397e-14,-13.5628,7.771520564273497e-14,-13.1095,3.31828912381226e-15,-14.4791,2.67566982538035e-14,-13.5726,-0.7144,0.4791,-0.9181,0.7793,0.376,-0.4254,11.28,176.34325,-1.03363,0.6849206,10.7104435,extreme_variable
39627,anomaly,1.709282017777633e-13,-12.7672,2.1145307481257625e-13,-12.6748,3.798380883531348e-13,-12.4204,2.133167508971803e-13,-12.671,1.530482582437223e-12,-11.8152,0.106,0.2848,-0.2807,0.7553,0.078,-1.0,12.788,337.80279,-28.08687,0.6846888,10.706484,extreme_variable
38158,anomaly,5.39432712308774e-13,-12.2681,9.308519689403508e-13,-12.0311,3.2120548824328663e-12,-11.4932,5.745090820871811e-12,-11.2407,6.525199989415713e-13,-12.1854,0.2662,0.5506,0.2828,-0.796,1.236,0.092,28.731,265.6684,-50.81686,0.6841913,10.697987,extreme_variable
