ra,dec,peak_flux,integrated_flux,flux_ratio,major_axis,minor_axis,axial_ratio,position_angle,spectral_index,type,log_peak_flux,log_integrated_flux,log_flux_ratio,recon_error,error_sigma,radio_class
111.05515,53.63234,0.1047,8.339,78.4215,493.541,263.048,0.533,42.59,-1.145,anomaly,-0.9800533183211576,0.9211139738366807,1.8944351449712349,0.8688947,13.269448,giant_diffuse
125.97665,-3.98725,0.6903,26.6903,31.6768,497.417,367.556,0.7389,116.03,-1.455,anomaly,-0.16096212661169415,1.4263534553016457,1.5007413025722594,0.8679396,13.25419,ultra_steep_spectrum
34.08439,79.17341,0.2184,9.7095,40.0838,487.178,367.733,0.7548,104.88,-1.671,anomaly,-0.6607473659673003,0.9871968660736117,1.602968886531906,0.8588884,13.109593,ultra_steep_spectrum
74.87611,1.42416,0.1471,3.9318,21.8314,476.923,305.769,0.6411,134.1,-1.228,anomaly,-0.8323873272724699,0.5945914183397822,1.3390815869587498,0.8580949,13.096917,giant_diffuse
357.16219,17.16638,0.3777,24.6033,63.0889,478.442,347.164,0.7256,97.06,-1.783,anomaly,-0.422853015172475,1.3909933622119768,1.7999529552377351,0.85685337,13.077084,ultra_steep_spectrum
342.22592,-29.70827,0.7548,59.2375,69.6644,480.683,335.401,0.6978,160.96,-1.329,anomaly,-0.12216810850710623,1.7725967217074576,1.843010901006126,0.8564201,13.070162,ultra_steep_spectrum
64.29037,-19.493,0.1839,14.5715,85.1093,477.835,365.814,0.7656,132.61,-1.415,anomaly,-0.7354182707619225,1.163504260636962,1.9299770185805187,0.851644,12.993861,ultra_steep_spectrum
267.20905,65.36193,0.1946,6.1433,29.9693,490.316,290.168,0.5918,68.84,-1.172,anomaly,-0.7108571640676669,0.7884017240389657,1.4766765991455888,0.84868,12.94651,giant_diffuse
90.7814,-33.0785,0.2501,7.1107,30.8984,481.054,363.655,0.756,103.63,-1.661,anomaly,-0.6018863082694975,0.8519123561690313,1.4899359911024443,0.8457737,12.900081,ultra_steep_spectrum
184.97671,75.26204,1.0266,22.9896,26.2823,62.882,4.833,0.0769,59.63,0.039,anomaly,0.011401259924743891,1.3615314149707134,1.4196633682545827,0.84301394,12.855993,jet_candidate
174.76284,47.07883,0.4372,32.6141,75.5819,474.888,310.834,0.6545,136.83,-1.118,anomaly,-0.35931984672233486,1.5134053984824,1.8784178051404556,0.8350628,12.728971,giant_diffuse
128.04252,4.91622,0.1146,4.4783,34.2594,460.885,314.403,0.6822,148.22,-1.745,anomaly,-0.9408153823686288,0.6511131834771527,1.534779752705063,0.83241075,12.686603,ultra_steep_spectrum
17.76638,53.24567,1.8298,41.5369,24.5359,69.679,4.392,0.063,83.76,-0.174,anomaly,0.26240362325878236,1.6184340809537276,1.3898019929411436,0.81862015,12.466292,jet_candidate
185.50614,14.69519,0.1846,13.1908,70.2477,494.626,270.748,0.5474,27.84,-1.575,anomaly,-0.7337683033101068,1.1202711355804529,1.8466321094502782,0.8111571,12.347067,ultra_steep_spectrum
48.48719,27.45752,0.2575,13.875,51.3908,470.118,308.531,0.6563,171.86,-1.382,anomaly,-0.5892227666227902,1.1422329917947138,1.7108853783950628,0.81113696,12.3467455,ultra_steep_spectrum
82.64938,-5.88748,0.6774,56.7445,89.1701,493.066,272.211,0.5521,33.78,-1.403,anomaly,-0.1691548076913885,1.7539237736113096,1.9502192536826153,0.80345154,12.223968,ultra_steep_spectrum
158.22943,-8.60973,0.5523,29.9413,51.6283,467.049,314.396,0.6732,152.79,-1.147,anomaly,-0.25782495677632283,1.476270652739488,1.7128878249741186,0.80140316,12.191244,giant_diffuse
244.74658,24.22984,0.5497,25.8815,44.2474,477.793,342.456,0.7167,99.2,-1.368,anomaly,-0.25987426303426947,1.4129894428948415,1.6458877564162742,0.80112964,12.186874,ultra_steep_spectrum
38.23615,-9.21157,0.6119,36.2793,64.9774,432.856,294.978,0.6815,38.72,-1.063,anomaly,-0.21331954680335125,1.5596588988657265,1.812762329535221,0.79678154,12.117412,giant_diffuse
255.72531,32.63476,0.1559,7.1708,50.551,444.255,300.843,0.6772,140.49,-1.859,anomaly,-0.8071538848111582,0.8555676098106489,1.7037297512264515,0.79298013,12.056683,ultra_steep_spectrum
264.57653,76.93351,0.3648,31.6559,83.3235,492.798,259.997,0.5276,36.47,-1.164,anomaly,-0.4379451703436214,1.5004546653374258,1.9207675041797145,0.7920169,12.041295,giant_diffuse
106.32799,-16.89454,1.8536,38.7415,20.4843,25.65,1.752,0.0683,4.09,0.134,anomaly,0.26801602078191916,1.5881764317963956,1.3114211276090733,0.7906815,12.01996,jet_candidate
249.54787,28.14702,0.7186,33.1669,41.3152,469.03,346.824,0.7394,78.99,-1.655,anomaly,-0.1435127871313693,1.5207048813533792,1.616109859444784,0.78985786,12.0068035,ultra_steep_spectrum
65.98042,-7.98092,0.1755,6.6441,36.6854,448.141,339.952,0.7586,176.77,-1.324,anomaly,-0.7557228791981572,0.822436160371976,1.5644932587752658,0.7897946,12.005793,ultra_steep_spectrum
245.19949,47.53539,0.5367,18.612,33.4159,497.942,304.868,0.6123,157.04,-1.542,anomaly,-0.2702684047129646,1.2697930438612297,1.523953162594832,0.785481,11.93688,ultra_steep_spectrum
69.81006,2.34414,0.3376,14.5879,35.1063,428.086,320.288,0.7482,23.51,-1.227,anomaly,-0.47159756204638253,1.1639927775648966,1.5453850597627456,0.78209585,11.882802,giant_diffuse
130.14395,3.63273,0.8312,23.611,34.0603,447.492,295.69,0.6608,24.11,-1.678,anomaly,-0.08029446545087898,1.3731143812034583,1.532248468869412,0.77890456,11.83182,ultra_steep_spectrum
41.41204,10.68644,0.4177,29.3059,71.336,490.96,292.381,0.5955,140.85,-1.224,anomaly,-0.3791355247348789,1.4669550633402895,1.8533087536338069,0.7773248,11.806582,giant_diffuse
352.54214,50.56499,0.2663,11.5382,42.4797,481.622,312.505,0.6489,103.1,-1.631,anomaly,-0.5746288335610588,1.0621380626290209,1.6281814410111568,0.77691114,11.7999735,ultra_steep_spectrum
61.24461,1.155,0.264,21.8378,77.5407,443.749,267.898,0.6037,6.81,-1.491,anomaly,-0.5783960731301689,1.3392088842165004,1.8895297172897767,0.773518,11.745768,ultra_steep_spectrum
104.1018,-5.73846,0.1511,12.2289,72.8065,455.191,283.946,0.6238,44.9,-1.389,anomaly,-0.8207355356609746,1.0873873936335636,1.8621701538750828,0.76975644,11.685675,ultra_steep_spectrum
30.82825,66.27957,0.6213,37.4033,67.0209,447.279,331.124,0.7403,47.53,-1.356,anomaly,-0.20669864638688498,1.5729099206113313,1.8262102555256523,0.76865137,11.66802,ultra_steep_spectrum
65.06476,51.67866,0.8836,64.9018,80.4113,478.858,262.728,0.5487,49.07,-1.738,anomaly,-0.05374429280060265,1.8122567417807542,1.9053170833604913,0.76421314,11.597118,ultra_steep_spectrum
229.28309,9.97219,0.4195,29.6462,64.0082,405.651,312.531,0.7704,7.31,-1.26,anomaly,-0.37726803483528093,1.4719690341321778,1.806235614399993,0.75869924,11.509031,giant_diffuse
357.29937,-11.27593,3.6618,47.1982,12.5236,76.346,5.289,0.0693,172.52,-0.535,anomaly,0.5636946203402367,1.6739254362405778,1.0977291879318642,0.7562095,11.469256,jet_candidate
319.18601,-37.55223,0.1762,16.8667,96.0191,458.43,291.242,0.6353,84.4,-1.515,anomaly,-0.7539940959239709,1.2270301204087786,1.9823576309513564,0.7532828,11.422502,ultra_steep_spectrum
144.14111,-37.11216,0.1146,5.6587,51.0113,440.449,308.277,0.6999,135.13,-1.479,anomaly,-0.9408153823686288,0.7527166701151876,1.7076663914714407,0.74607027,11.307279,ultra_steep_spectrum
52.8382,42.26434,0.3331,27.502,85.8876,457.94,341.541,0.7458,127.48,-1.473,anomaly,-0.4774253673088232,1.4393642777350002,1.9339304672037214,0.74599934,11.306146,ultra_steep_spectrum
257.5516,-23.74558,1.1814,30.4158,21.2272,77.633,8.752,0.1127,7.56,0.286,anomaly,0.07239696652176185,1.483099243814439,1.326892711794524,0.7433133,11.263235,inverted_spectrum
251.95044,58.90256,0.1389,14.5699,88.8676,468.351,277.051,0.5915,145.96,-1.431,anomaly,-0.8572977542623844,1.1634565710152045,1.9487434515665938,0.73980606,11.207205,ultra_steep_spectrum
329.92654,-9.41868,0.4043,39.3875,90.2419,436.98,337.514,0.7724,57.29,-1.63,anomaly,-0.3932962586663257,1.595358416182056,1.9554082305979206,0.7386086,11.188075,ultra_steep_spectrum
157.98696,-20.23771,0.2238,10.5584,55.1975,485.501,267.149,0.5503,66.97,-1.254,anomaly,-0.6501399178076688,1.0235981110180474,1.7419194081496352,0.73396826,11.113944,giant_diffuse
17.29472,77.22051,0.6279,26.5414,40.7313,452.077,298.733,0.6608,150.26,-1.714,anomaly,-0.20210951694165108,1.4239238272035761,1.609928271461314,0.7196926,10.885884,ultra_steep_spectrum
94.37938,-23.57003,0.2497,22.3275,82.0341,440.27,287.056,0.652,91.77,-1.195,anomaly,-0.6025814576486522,1.3488400980384248,1.9139944177911075,0.7182269,10.86247,giant_diffuse
0.87904,-5.39919,0.7775,66.4745,90.1848,419.978,283.313,0.6746,39.11,-1.593,anomaly,-0.1092996023011249,1.82265507939123,1.9551333464954617,0.71752757,10.851297,ultra_steep_spectrum
298.5732,-17.62098,0.1116,6.7393,68.9765,393.778,247.923,0.6296,50.66,-1.038,anomaly,-0.95233580539844,0.8286147894247717,1.8387011536548765,0.7155409,10.819559,giant_diffuse
240.36619,60.23215,0.1387,10.9071,65.9015,472.602,265.058,0.5608,56.16,-1.655,anomaly,-0.8579235389267151,1.037709294913212,1.8188952997883798,0.7104331,10.737961,ultra_steep_spectrum
45.91979,18.06635,0.3457,29.7073,77.8371,443.048,310.813,0.7015,85.75,-1.478,anomaly,-0.4613006204575932,1.4728631819825195,1.8911866469229477,0.7100375,10.731641,ultra_steep_spectrum
234.68686,30.59853,0.7623,65.654,88.2198,447.073,253.583,0.5672,41.31,-1.12,anomaly,-0.11787408022996823,1.8172611908216498,1.9455660688697878,0.70436764,10.641062,giant_diffuse
226.61543,-1.77567,0.4937,27.685,51.2113,449.224,336.152,0.7483,142.07,-1.678,anomaly,-0.3065368727804688,1.442244527847952,1.7093658005494994,0.7036803,10.630081,ultra_steep_spectrum
22.45891,1.48543,0.5592,58.104,86.3454,423.229,315.617,0.7457,179.0,-1.663,anomaly,-0.252432837262375,1.764206031153339,1.9362392057386784,0.7035108,10.627374,ultra_steep_spectrum
169.93659,-5.99644,1.2309,25.9708,17.7932,77.547,7.452,0.0961,134.2,0.006,anomaly,0.09022277168657512,1.4144853277669345,1.2502540603585848,0.70181304,10.600251,jet_candidate
8.89396,-29.37777,0.6782,37.7094,62.917,446.6,274.298,0.6142,137.53,-1.816,anomaly,-0.1686422145579325,1.5764496223350244,1.7987680064733857,0.69526637,10.495666,ultra_steep_spectrum
97.47853,40.41912,0.3645,35.1034,92.6068,431.351,316.582,0.7339,106.87,-1.761,anomaly,-0.4383024673460066,1.5453491828398067,1.966642877546398,0.6939603,10.474801,ultra_steep_spectrum
203.60408,-11.20921,0.498,45.2538,76.5533,426.44,260.36,0.6105,173.02,-1.79,anomaly,-0.30277065724028246,1.6556550531487348,1.8839639166658906,0.6915644,10.436525,ultra_steep_spectrum
27.58732,36.15313,0.3749,10.9975,28.1217,422.85,301.237,0.7124,161.93,-1.705,anomaly,-0.4260845595784493,1.0412939706489006,1.449041570910485,0.68790686,10.378095,ultra_steep_spectrum
298.48709,66.34183,0.5452,41.3082,73.7346,436.056,328.204,0.7527,130.94,-1.742,anomaly,-0.26344415283736405,1.6160362710574605,1.8676713286040287,0.6858143,10.344666,ultra_steep_spectrum
300.69377,25.65117,0.1315,9.1282,63.3343,470.398,246.577,0.5242,119.46,-1.128,anomaly,-0.8810742471742233,0.9603851469606435,1.8016389748878296,0.68490654,10.330163,giant_diffuse
257.16489,71.15792,1.4715,44.9073,28.4797,63.647,10.538,0.1656,145.47,-0.273,anomaly,0.16776026643562977,1.6523169443891252,1.4545354102095243,0.68386847,10.31358,giant_diffuse
39.62278,71.00566,0.6538,44.5353,56.8934,475.973,262.738,0.552,149.91,-1.076,anomaly,-0.18455508375564977,1.6487043821688638,1.7550618883664022,0.6823287,10.288981,giant_diffuse
86.85756,5.93429,0.1026,9.3102,88.4332,430.288,272.217,0.6326,106.3,-1.674,anomaly,-0.9888526392242025,0.9689590105155457,1.9466153404646127,0.68219453,10.286838,ultra_steep_spectrum
255.87208,3.10945,0.4635,23.989,46.589,436.241,275.006,0.6304,37.54,-1.254,anomaly,-0.3339502615194841,1.3800121444441238,1.668283388723757,0.6820569,10.284639,giant_diffuse
300.69201,21.0808,0.1369,4.0492,25.1647,434.412,264.399,0.6086,145.13,-1.764,anomaly,-0.86359655186601,0.607369228176479,1.4007917573391118,0.68178177,10.280244,ultra_steep_spectrum
4.67872,-32.35977,6.1161,198.4588,29.5868,75.155,6.021,0.0801,33.09,-0.407,anomaly,0.7864745776384425,2.2976703610245233,1.4710979959989532,0.6767479,10.199826,jet_candidate
199.72898,-35.9087,0.1135,8.1377,75.2677,422.789,249.068,0.5891,30.57,-1.581,anomaly,-0.9450041384708585,0.9105016753493983,1.8766086452415287,0.6676773,10.054919,ultra_steep_spectrum
205.34741,-17.23189,3.6358,21.3739,5.7647,75.007,7.737,0.1032,47.56,-0.219,anomaly,0.5605999853075407,1.3298837731675635,0.7607767111563603,0.66405106,9.996988,jet_candidate
259.54227,68.22184,27.4806,570.1011,21.5727,77.718,9.893,0.1273,8.87,-0.205,anomaly,1.4390262106962632,2.75595187896847,1.33390450401391,0.66050786,9.940384,jet_candidate
260.72286,-12.97007,0.9807,59.6591,58.9566,386.46,305.799,0.7913,10.15,-1.651,anomaly,-0.008463824699968562,1.77567669743399,1.770532430010169,0.6598667,9.930141,ultra_steep_spectrum
54.08449,53.66565,2.6066,47.9784,18.4747,75.134,3.878,0.0516,37.61,0.078,anomaly,0.41607439092239434,1.6810457608732183,1.2665773948664625,0.65814567,9.902647,jet_candidate
216.07351,27.34069,0.2668,23.157,92.3695,443.107,240.047,0.5417,55.9,-1.137,anomaly,-0.5738141747554887,1.3646822956496714,1.9655285927748725,0.6555065,9.860485,giant_diffuse
46.31902,-0.42589,0.1188,4.3584,36.2504,413.915,286.776,0.6928,85.75,-1.398,anomaly,-0.9251835593548252,0.6393270858966723,1.5593128030955457,0.6528398,9.8178835,ultra_steep_spectrum
15.8605,28.07666,0.5705,31.5493,64.8029,398.039,246.369,0.619,0.72,-1.418,anomaly,-0.24374435124576654,1.4989897277795232,1.8115944414541756,0.6501696,9.775227,ultra_steep_spectrum
290.74665,69.41552,0.1736,13.654,68.8422,451.586,269.745,0.5973,83.27,-1.479,anomaly,-0.7604502791595269,1.1352598985156586,1.837854740687965,0.65010786,9.7742405,ultra_steep_spectrum
83.28885,-37.22372,0.1766,3.3014,23.1862,438.719,244.584,0.5575,49.34,-1.527,anomaly,-0.7530093007584502,0.51869814695026,1.3652295776910393,0.6431992,9.663872,ultra_steep_spectrum
206.24597,-17.21469,0.523,45.5001,96.1295,449.179,231.764,0.516,152.85,-1.797,anomaly,-0.2814983111327257,1.6580123511494305,1.9828566834146897,0.6393783,9.602831,ultra_steep_spectrum
247.57555,-27.97528,0.1368,5.6945,41.4264,410.907,287.49,0.6996,123.16,-1.391,anomaly,-0.8639139026159026,0.7554555972871344,1.6172771942670099,0.6341988,9.520086,ultra_steep_spectrum
168.81331,64.73006,0.1431,10.9369,84.4851,417.66,314.985,0.7542,132.3,-1.461,anomaly,-0.8443603662402236,1.0388942412224473,1.9267801224601482,0.6316894,9.479999,ultra_steep_spectrum
329.17407,-18.84678,0.4415,47.8722,96.1182,487.833,247.537,0.5074,67.27,-1.414,anomaly,-0.3550692920864126,1.6800833862432962,1.982805629200245,0.63022876,9.456663,ultra_steep_spectrum
157.21791,33.50949,0.158,10.916,79.011,409.941,290.038,0.7075,117.91,-1.361,anomaly,-0.8013429130455774,1.0380635269978589,1.8976875584643553,0.6283126,9.426052,ultra_steep_spectrum
191.27467,79.80912,0.1321,3.049,23.7599,384.959,271.192,0.7045,151.81,-1.372,anomaly,-0.8790971823854729,0.4841574243653807,1.375844608466581,0.6268455,9.402615,ultra_steep_spectrum
116.4016,27.28227,0.291,8.1506,28.9239,430.451,266.972,0.6202,115.99,-1.222,anomaly,-0.5361070110140927,0.9111895801630236,1.461256851357094,0.62646997,9.396615,giant_diffuse
56.46853,56.89614,3.5261,63.4166,19.5742,14.558,2.575,0.1769,14.17,0.062,anomaly,0.5472946247053214,1.8022029541713473,1.2916840214229417,0.6229843,9.34093,double_lobe_candidate
196.49759,72.95203,0.0963,9.1447,85.5022,395.696,224.778,0.5681,15.61,-1.719,anomaly,-1.0163737128754655,0.9611694626301874,1.9319772894131795,0.6206403,9.303484,ultra_steep_spectrum
339.33624,-37.17922,1.0133,59.1463,65.6228,411.117,313.779,0.7632,69.06,-1.667,anomaly,0.005738042651424855,1.7719275817645765,1.8170547569644793,0.6186558,9.271781,ultra_steep_spectrum
228.6762,22.36061,0.3235,28.4666,93.1612,435.696,231.91,0.5323,26.08,-1.426,anomaly,-0.4901257149952808,1.454335598885056,1.9692350740019926,0.6180108,9.261477,ultra_steep_spectrum
206.42966,54.14942,0.3356,32.4736,90.2646,367.446,284.944,0.7755,2.36,-1.602,anomaly,-0.47417804784333734,1.511530436869599,1.9555174619529263,0.6153456,9.218899,ultra_steep_spectrum
226.24788,65.83259,0.2145,13.7894,61.2485,352.406,234.049,0.6641,157.18,-0.911,anomaly,-0.6685727034792569,1.1395453697031794,1.7870954571231037,0.6129123,9.180026,giant_diffuse
157.77776,69.17494,0.5136,13.0793,28.9696,426.65,267.985,0.6281,157.31,-1.366,anomaly,-0.28937498493920316,1.1165845013068767,1.4619424986904008,0.609677,9.128341,ultra_steep_spectrum
167.74369,52.76524,0.5648,23.6133,39.7783,421.061,294.022,0.6983,75.6,-1.579,anomaly,-0.24810531195625268,1.3731566847340206,1.5996462187985891,0.60928977,9.122154,ultra_steep_spectrum
198.5404,-3.91771,0.1137,9.5835,84.3123,395.027,257.681,0.6523,128.87,-1.336,anomaly,-0.9442395353122652,0.9815241471878212,1.9258909368128732,0.6079671,9.101025,ultra_steep_spectrum
29.00079,-17.35468,1.0023,20.3714,20.4077,414.226,326.501,0.7882,110.55,-1.618,anomaly,0.00099773035779373,1.3090208763924924,1.3097940613748515,0.6045642,9.046661,ultra_steep_spectrum
315.45789,-8.65526,0.143,15.3673,97.3025,420.742,207.901,0.4941,141.31,-0.959,anomaly,-0.8446639625349383,1.186597569639871,1.9881239987704762,0.6044855,9.045404,giant_diffuse
7.90149,-5.73593,0.9545,43.8645,43.1921,424.741,321.509,0.757,129.73,-1.274,anomaly,-0.020224067270314405,1.6421131833132174,1.635404319959526,0.604477,9.045269,giant_diffuse
235.67221,70.72178,0.1808,3.7154,20.1238,392.289,280.928,0.7161,99.61,-1.326,anomaly,-0.7428015738606555,0.5700055767617882,1.303709992447787,0.60319847,9.024844,ultra_steep_spectrum
336.9722,-4.74736,0.158,5.4413,34.8406,473.39,181.217,0.3828,159.55,-0.793,anomaly,-0.8013429130455774,0.735702670907348,1.5420856255102926,0.6014156,8.996361,giant_diffuse
355.67396,31.15687,0.3397,6.4811,22.0396,461.091,235.772,0.5113,44.67,-1.708,anomaly,-0.46890445312997203,0.8116487224426806,1.3432037081757018,0.5959996,8.909839,ultra_steep_spectrum
59.46947,65.45649,0.2797,10.2226,32.7137,403.27,272.216,0.675,45.22,-1.579,anomaly,-0.5533075336284727,1.009561367623123,1.5147296666779635,0.5952106,8.897235,ultra_steep_spectrum
200.82392,-1.31047,0.108,3.5002,29.9443,436.463,186.956,0.4283,2.8,-1.016,anomaly,-0.9665762445130504,0.5440928604687878,1.47631416515138,0.5935265,8.87033,giant_diffuse
267.39676,59.72024,0.128,9.9522,73.6295,399.673,297.36,0.744,157.69,-1.547,anomaly,-0.8927900303521317,0.9979190950420423,1.867051851298673,0.592355,8.851615,ultra_steep_spectrum
259.04391,45.34219,0.1372,12.2521,80.2308,358.317,253.203,0.7066,78.0,-0.981,anomaly,-0.8626458886292672,1.0882105328024225,1.9043411226755518,0.59200716,8.846058,giant_diffuse
271.76765,20.41917,24.0,227.9523,9.714,16.377,1.056,0.0645,5.17,0.266,anomaly,1.380211241711606,2.357843978517666,0.9873980991370174,0.59055054,8.822788,inverted_spectrum
233.77778,46.42074,0.1182,5.5162,45.2269,424.385,237.836,0.5604,148.64,-1.719,anomaly,-0.9273825234547635,0.7416400039363261,1.655396820798468,0.58839655,8.788377,ultra_steep_spectrum
249.30672,66.64696,0.5193,12.7913,22.3186,386.021,230.14,0.5962,21.88,-1.132,anomaly,-0.2845816774049437,1.1069146847551028,1.3486669487178733,0.5860894,8.751519,giant_diffuse
44.05332,3.2364,0.4454,11.2809,23.9267,377.024,267.215,0.7087,17.16,-1.666,anomaly,-0.3512497873019806,1.0523437494205081,1.378882804312637,0.58359146,8.711614,ultra_steep_spectrum
274.26693,25.92607,0.139,4.6405,30.2966,396.303,260.995,0.6586,136.76,-1.602,anomaly,-0.8569851997459049,0.6665647770079086,1.4813938930537809,0.5808532,8.66787,ultra_steep_spectrum
65.74665,-11.18643,0.311,7.2379,24.3674,353.381,273.922,0.7751,178.43,-1.018,anomaly,-0.5072396109731625,0.8596125785306493,1.3868091924636838,0.5775188,8.614601,giant_diffuse
193.8035,-18.82066,0.7271,25.1386,33.5179,422.09,280.083,0.6636,86.78,-1.408,anomaly,-0.13840585535613475,1.4003410876218232,1.5252768009194029,0.5751348,8.576515,ultra_steep_spectrum
313.79721,-27.34481,0.8268,26.0497,29.9369,402.868,302.393,0.7506,75.97,-1.729,anomaly,-0.08259953204474937,1.4158027261347834,1.476206826648396,0.5728121,8.539409,ultra_steep_spectrum
36.4925,-24.6226,0.1382,14.0498,97.3033,386.967,212.475,0.5491,21.26,-1.789,anomaly,-0.8594919569618205,1.147670142069241,1.9881275694306058,0.5687901,8.475156,ultra_steep_spectrum
290.1772,50.5269,0.7348,34.4828,43.5231,417.593,235.095,0.563,176.14,-1.652,anomaly,-0.1338308523662293,1.5376025232541095,1.638719821086864,0.56778383,8.459081,ultra_steep_spectrum
16.05891,-32.72125,1.387,35.1081,28.5187,18.571,2.667,0.1436,26.74,0.23,anomaly,0.14207646107328487,1.5454073267070647,1.4551297246968586,0.5638598,8.396393,inverted_spectrum
