source_id,type,flux_soft,flux_medium,flux_hard,log_flux_soft,log_flux_medium,log_flux_hard,hr1,hr2,extent,log_extent,variability_index,pileup_fraction,ra,dec,recon_error,error_sigma,xray_class
19514,anomaly,5.676065343436655e-13,1.3357446891173393e-14,1.3689808233743579e-17,-12.246,-13.8743,-16.8636,-0.954,-0.998,0.13,-0.8864,1.321,0.116,7.74257,2.8553,0.4816115,10.327881,ultra_soft
60428,anomaly,5.815216217536414e-12,8.862218709732368e-14,2.565291966401944e-14,-11.2354,-13.0525,-13.5909,-0.97,-0.551,2.599,0.4148,4.445,0.0066,350.1437,-13.69163,0.48076093,10.307951,ultra_soft
70399,anomaly,9.513514555743906e-12,1.5263337997880736e-13,9.446642321752453e-15,-11.0217,-12.8164,-14.0247,-0.9684,-0.8834,0.087,-1.0,2.716,0.1137,249.86651,-78.17114,0.47834134,10.251259,ultra_soft
3337,anomaly,1.736459233154554e-13,1.0113669692991798e-15,8.546718937745269e-17,-12.7603,-14.9951,-16.0682,-0.9884,-0.8441,0.067,-1.0,2.648,0.1174,232.12762,47.89537,0.47628194,10.203006,ultra_soft
27676,anomaly,6.328658616449934e-12,2.879628317729497e-14,2.335426260141306e-14,-11.1987,-13.5407,-13.6316,-0.9909,-0.1044,0.428,-0.3686,4.721,0.0056,5.05442,-76.42449,0.4735908,10.139951,unclassified
596,anomaly,2.8908749644133316e-12,3.322899203515122e-15,5.563328711429456e-17,-11.539,-14.4785,-16.2547,-0.9977,-0.9671,0.02,-1.0,1.612,0.0103,337.00521,3.62884,0.46486267,9.935445,ultra_soft
66249,anomaly,5.70670061418885e-13,1.046855606552949e-14,4.4348590990245234e-17,-12.2436,-13.9801,-16.3531,-0.964,-0.9916,0.119,-0.9238,1.407,0.1455,276.23836,-10.3684,0.45556742,9.717651,ultra_soft
62028,anomaly,6.121717848831184e-13,1.2958663506288296e-15,1.2481203582041242e-15,-12.2131,-14.8874,-14.9037,-0.9958,-0.0188,0.407,-0.3907,4.952,0.0109,179.18936,-68.8967,0.45469508,9.697212,unclassified
67611,anomaly,1.575838821570047e-13,7.763670563861775e-16,3.2214939991038783e-18,-12.8025,-15.1099,-17.4919,-0.9902,-0.9917,0.144,-0.8401,3.743,0.1416,199.95625,-9.08126,0.4529264,9.65577,ultra_soft
47238,anomaly,3.2453491647164656e-13,3.3044481529852164e-14,9.249163465694483e-14,-12.4887,-13.4809,-13.0339,-0.8152,0.4735,0.093,-1.0,14.352,0.1035,229.27029,84.38239,0.45204973,9.63523,extreme_variable
3433,xrb,1.6881639332710166e-14,1.0337386734545799e-14,3.6551749690493915e-15,-13.7726,-13.9856,-14.4371,-0.2404,-0.4776,0.086,-1.0,3.779,0.1187,160.82028,32.20873,0.4464825,9.5047865,unclassified
54083,anomaly,9.594571591062846e-13,1.2212492457596498e-15,2.691588009398388e-16,-12.018,-14.9132,-15.57,-0.9975,-0.6388,0.065,-1.0,1.68,0.1347,202.30109,-41.65958,0.44423574,9.452143,ultra_soft
29072,anomaly,1.3101069224447207e-12,1.1924134546694162e-14,2.068070969922476e-15,-11.8827,-13.9236,-14.6844,-0.982,-0.7044,0.09,-1.0,1.251,0.1442,122.11164,14.79521,0.44005716,9.354236,ultra_soft
27272,anomaly,4.768541917272501e-14,1.2011033889494726e-13,7.542868931086805e-12,-13.3216,-12.9204,-11.1225,0.4316,0.9687,1.651,0.2178,0.111,0.0711,283.59945,49.85573,0.43509436,9.237954,ultra_hard
62682,anomaly,1.8228487891592812e-13,7.735684704268458e-16,1.981469527726437e-18,-12.7392,-15.1115,-17.703,-0.9915,-0.9949,0.087,-1.0,1.425,0.0029,0.54499,13.36356,0.43470165,9.228753,ultra_soft
67851,xrb,4.0528829887259396e-14,1.5113260898404192e-14,4.976397733428368e-15,-13.3922,-13.8206,-14.3031,-0.4568,-0.5046,0.108,-0.9653,2.482,0.1137,170.98554,82.1543,0.43194932,9.164265,unclassified
51164,anomaly,1.1736003270127183e-13,1.0508383363382286e-15,2.3778378013974037e-17,-12.9305,-14.9785,-16.6238,-0.9823,-0.9557,0.125,-0.9045,1.386,0.1298,31.87671,30.85543,0.43156108,9.155168,ultra_soft
79871,xrb,1.2820258695756403e-14,8.999050092657048e-15,5.927326783772252e-16,-13.8921,-14.0458,-15.2271,-0.1751,-0.8764,0.126,-0.8992,2.524,0.1333,318.36422,-13.11225,0.42629308,9.031734,unclassified
22409,anomaly,2.617731455012382e-13,3.9706915070598315e-16,9.834985454393713e-18,-12.5821,-15.4011,-17.0072,-0.997,-0.9516,0.132,-0.8802,1.38,0.0347,310.75034,20.56292,0.4212378,8.913286,ultra_soft
11576,anomaly,5.950742250275225e-13,1.7665297121144284e-14,2.077744190843823e-17,-12.2254,-13.7529,-16.6824,-0.9423,-0.9976,0.131,-0.8835,1.168,0.0941,335.30751,36.23414,0.41922566,8.866141,ultra_soft
922,xrb,1.9771642648715864e-14,1.207719427171948e-14,8.146371584483624e-16,-13.704,-13.918,-15.089,-0.2416,-0.8736,0.16,-0.7949,2.684,0.1144,246.37875,6.07859,0.4185143,8.849474,unclassified
69739,xrb,8.949652165473425e-14,3.125164612502254e-14,2.016616411697491e-14,-13.0482,-13.5051,-13.6954,-0.4824,-0.2156,0.035,-1.0,2.603,0.1102,301.33819,-79.13688,0.41744137,8.824334,unclassified
70223,xrb,3.600551910581154e-14,2.943312276530303e-14,2.9707421623277217e-15,-13.4436,-13.5312,-14.5271,-0.1004,-0.8166,0.094,-1.0,2.091,0.1328,181.30632,9.81634,0.4164956,8.802174,unclassified
28600,anomaly,6.137358505920239e-12,1.5391462198757307e-13,2.7404494562771443e-16,-11.212,-12.8127,-15.5622,-0.9511,-0.9964,0.254,-0.5953,2.086,0.0105,354.81687,-30.33683,0.4155905,8.780967,ultra_soft
5022,anomaly,1.640465160009893e-12,6.804922265769389e-15,3.0229546759949405e-15,-11.785,-14.1672,-14.5196,-0.9917,-0.3848,0.115,-0.9407,1.04,0.0786,4.2765,-32.92094,0.41554177,8.779825,ultra_soft
69087,anomaly,1.1815583036735696e-12,3.0753767085124597e-14,5.280609927550129e-16,-11.9275,-13.5121,-15.2773,-0.9493,-0.9662,0.114,-0.9414,1.773,0.1201,74.62004,-41.164,0.4106813,8.665941,ultra_soft
12061,anomaly,7.453145626354316e-12,1.9717417756270964e-13,2.534323407684968e-14,-11.1277,-12.7051,-13.5961,-0.9485,-0.7722,0.089,-1.0,2.29,0.1265,359.74211,-18.44958,0.41004258,8.650975,ultra_soft
36320,anomaly,1.585317496871513e-12,2.7576127438912522e-15,1.0848510937432125e-16,-11.7999,-14.5595,-15.9646,-0.9965,-0.9243,0.007,-1.0,1.952,0.0036,358.54899,-46.24108,0.4045518,8.522323,ultra_soft
28118,anomaly,1.5975696374488548e-12,2.0592671924186946e-15,3.8187438668166155e-17,-11.7965,-14.6863,-16.4181,-0.9974,-0.9636,0.121,-0.9166,3.105,0.1146,102.6047,-9.9708,0.40410438,8.51184,ultra_soft
53590,anomaly,1.7191208477210693e-14,1.41530524000467e-13,2.732312637813661e-12,-13.7647,-12.8491,-11.5635,0.7834,0.9015,0.004,-1.0,0.221,0.149,116.90504,-64.70965,0.403468,8.496929,ultra_hard
14685,xrb,1.0953908542620509e-14,4.210868797081585e-15,4.972180955697483e-15,-13.9604,-14.3756,-14.3035,-0.4447,0.0829,0.351,-0.4545,5.882,0.0657,328.57044,70.10586,0.40339604,8.495243,unclassified
42226,xrb,3.3599136042997187e-14,1.8679144363550545e-14,1.4910575309782238e-14,-13.4737,-13.7286,-13.8265,-0.2854,-0.1122,0.049,-1.0,3.126,0.1285,80.69554,-31.01843,0.40157178,8.452499,unclassified
9829,anomaly,5.643908763793034e-13,1.5676730035083312e-14,9.197821073524315e-18,-12.2484,-13.8047,-17.0363,-0.9459,-0.9988,0.024,-1.0,1.208,0.0734,161.39006,-19.22902,0.3999706,8.414983,ultra_soft
55314,anomaly,3.2813166650325613e-13,9.664154554345636e-16,2.0772344892776568e-16,-12.484,-15.0148,-15.6825,-0.9941,-0.6462,0.128,-0.8927,1.683,0.1066,135.76857,-25.45454,0.39976597,8.410188,ultra_soft
68518,xrb,2.7730383229266543e-15,5.268381150868979e-15,1.0323132464116279e-14,-14.557,-14.2783,-13.9862,0.3103,0.3242,0.484,-0.3151,5.17,0.0542,110.36354,-1.92974,0.39400136,8.27512,unclassified
13298,anomaly,7.718998794530272e-12,1.0505446367845743e-12,2.158590153148057e-12,-11.1124,-11.9786,-11.6658,-0.7604,0.3453,0.106,-0.9763,13.735,0.1191,10.22583,-32.92388,0.39171728,8.221602,extreme_variable
207,xrb,1.2232332876080035e-14,6.729059434598985e-15,2.4122932687088613e-15,-13.9125,-14.172,-14.6176,-0.2902,-0.4722,0.119,-0.9263,4.311,0.1194,271.53539,75.31676,0.391267,8.211052,unclassified
18371,xrb,1.9204139024134293e-15,5.964139470399907e-15,1.4281299523041724e-14,-14.7166,-14.2245,-13.8452,0.5129,0.4108,0.865,-0.0631,5.403,0.0428,275.00327,-0.03341,0.3911637,8.2086315,unclassified
7490,anomaly,3.485260992991365e-12,6.052623814520798e-14,1.6503361895810691e-15,-11.4578,-13.2181,-14.7824,-0.9659,-0.9469,0.123,-0.9085,3.363,0.0599,332.40719,-36.85121,0.3903947,8.190613,ultra_soft
63788,anomaly,2.1077112651030976e-13,2.660619944393006e-14,5.86568033390203e-14,-12.6762,-13.575,-13.2317,-0.7758,0.3759,0.028,-1.0,17.665,0.0726,141.30917,39.42084,0.39028543,8.188053,extreme_variable
49308,xrb,5.776624973759165e-16,6.4555252188461334e-15,1.64219204609804e-14,-15.2383,-14.1901,-13.7846,0.8357,0.4356,0.788,-0.1037,5.506,0.0011,312.80582,31.98375,0.38868302,8.150508,unclassified
20665,xrb,1.1635583591594456e-15,5.478618705314863e-15,1.5935396367469038e-14,-14.9342,-14.2613,-13.7976,0.6496,0.4883,0.115,-0.9381,2.267,0.1415,212.29364,87.25763,0.38827634,8.140979,unclassified
7844,anomaly,3.337288796186103e-14,1.8468597912257052e-13,6.30764970085313e-12,-13.4766,-12.7336,-11.2001,0.6939,0.9431,0.08,-1.0,0.385,0.177,214.90575,-16.25643,0.38614744,8.091097,ultra_hard
4270,anomaly,8.076391704375324e-12,1.530844324487178e-14,5.787641351692293e-14,-11.0928,-13.8151,-13.2375,-0.9962,0.5816,1.289,0.1103,4.623,0.1126,56.52353,-79.1341,0.38530502,8.071359,unclassified
7215,anomaly,4.3980188350092084e-13,1.2482312812817246e-15,4.935566044964636e-16,-12.3567,-14.9037,-15.3067,-0.9943,-0.4333,0.13,-0.8853,3.166,0.0952,314.6276,-53.29686,0.38392735,8.039079,ultra_soft
8715,anomaly,5.551507332814496e-12,1.6873356984943883e-14,5.736855211335649e-16,-11.2556,-13.7728,-15.2413,-0.9939,-0.9342,0.063,-1.0,2.942,0.0733,125.01948,76.93457,0.38343018,8.027431,ultra_soft
61665,xrb,7.8519028098304e-16,4.5132600758988e-15,1.3831694490867197e-14,-15.105,-14.3455,-13.8591,0.7036,0.508,0.058,-1.0,4.668,0.0159,146.71325,33.88948,0.38084212,7.96679,ultra_hard
25828,xrb,1.0895470932457896e-14,3.85368969208642e-15,2.1540912522068846e-15,-13.9628,-14.4141,-14.6667,-0.4774,-0.2829,0.144,-0.8412,3.681,0.0824,216.68884,42.70461,0.37971598,7.940404,unclassified
9786,anomaly,3.5789847944958397e-16,2.3659312147537495e-15,1.2283975831768768e-13,-15.4462,-14.626,-12.9107,0.7372,0.9622,0.09,-1.0,0.848,0.1751,11.30548,-8.87947,0.37952903,7.9360237,ultra_hard
2862,anomaly,8.529862486674699e-12,1.6266089927713608e-13,7.691151935491504e-14,-11.0691,-12.7887,-13.114,-0.9626,-0.3579,2.034,0.3083,4.723,0.1035,334.50277,3.25564,0.37901258,7.923923,ultra_soft
71225,anomaly,2.1612659529007805e-12,2.1183461669770637e-12,1.231187586144955e-13,-11.6653,-11.674,-12.9097,-0.01,-0.8901,0.042,-1.0,19.585,0.1095,246.73143,39.07005,0.37641254,7.8630023,extreme_variable
3934,anomaly,5.930877439788012e-12,6.565922465272333e-15,2.272873757498214e-14,-11.2269,-14.1827,-13.6434,-0.9978,0.5517,1.428,0.1549,4.126,0.0008,86.48294,-27.45305,0.37534636,7.8380213,unclassified
14196,anomaly,9.258148458069182e-12,4.3533382284313234e-14,4.122652987952184e-16,-11.0335,-13.3612,-15.3848,-0.9906,-0.9812,0.149,-0.8262,4.661,0.0081,30.6174,-28.10545,0.37332726,7.790712,ultra_soft
38058,anomaly,5.594415488993292e-12,1.1317591000439998e-13,1.4443310087608365e-14,-11.2522,-12.9462,-13.8403,-0.9603,-0.7736,2.639,0.4215,4.548,0.1418,323.97632,-25.76367,0.37312564,7.7859883,ultra_soft
19376,anomaly,3.333517608828802e-12,7.828383582929503e-14,1.2504402555443004e-15,-11.4771,-13.1063,-14.9029,-0.9541,-0.9686,2.256,0.3534,4.923,0.0014,130.72902,69.38577,0.37254956,7.7724905,ultra_soft
69549,anomaly,1.4827711008899054e-12,4.365909599517772e-14,4.281748426624355e-17,-11.8289,-13.3599,-16.3684,-0.9428,-0.998,0.082,-1.0,1.181,0.0173,134.33719,-34.08636,0.3719227,7.7578025,ultra_soft
5463,anomaly,6.269848154027155e-12,1.7671920470364726e-13,2.4805911085939256e-14,-11.2027,-12.7527,-13.6054,-0.9452,-0.7538,2.847,0.4543,1.474,0.1488,226.56652,67.44171,0.37170774,7.7527657,ultra_soft
5550,xrb,8.832198140100611e-16,4.421269443067542e-15,1.0413210712537986e-14,-15.0539,-14.3545,-13.9824,0.667,0.4039,0.377,-0.4232,5.512,0.0071,144.21624,69.55494,0.3698964,7.7103252,unclassified
37252,anomaly,7.0941615281420785e-12,2.1983170158823002e-14,3.392103345907867e-14,-11.1491,-13.6579,-13.4695,-0.9938,0.2135,2.146,0.3316,4.519,0.1041,147.55045,9.76625,0.3692976,7.696295,unclassified
63639,anomaly,6.940520194450637e-12,6.986871174813091e-14,6.297096383456556e-16,-11.1586,-13.1557,-15.2009,-0.9801,-0.9821,0.184,-0.7357,1.857,0.0606,162.33431,37.29134,0.36759847,7.656483,ultra_soft
72619,anomaly,7.922422339124592e-15,5.9974588361285346e-15,5.179425864236161e-13,-14.1011,-14.222,-12.2857,-0.1383,0.9771,0.179,-0.7464,2.212,0.1055,87.34772,-68.90555,0.3664584,7.6297703,unclassified
68219,anomaly,8.524266546253207e-12,9.706814402946514e-14,5.304865766744904e-14,-11.0693,-13.0129,-13.2753,-0.9775,-0.2932,2.422,0.3841,3.46,0.1476,207.09474,39.55169,0.36500013,7.595602,unclassified
34724,anomaly,7.885709093608503e-13,1.6008205339632054e-14,2.7480183536407804e-15,-12.1032,-13.7957,-14.561,-0.9602,-0.707,0.046,-1.0,2.467,0.1307,323.63474,-41.30908,0.36495197,7.594474,ultra_soft
63767,anomaly,1.8039794247667934e-13,2.376432880291205e-16,1.793686197515496e-16,-12.7438,-15.6241,-15.7463,-0.9974,-0.1397,0.148,-0.8296,1.546,0.1182,136.06661,56.10342,0.3644399,7.5824757,unclassified
63629,anomaly,1.1822397189542538e-13,1.293804664582382e-14,3.566674282838031e-14,-12.9273,-13.8881,-13.4477,-0.8027,0.4676,0.19,-0.7214,5.269,0.1375,298.0218,-47.75261,0.3624095,7.534902,unclassified
68186,xrb,3.714111634331108e-15,4.520211951747281e-15,1.2560962511805442e-14,-14.4301,-14.3448,-13.901,0.0979,0.4707,0.169,-0.7717,4.272,0.1859,108.00188,-37.02616,0.36227334,7.5317116,unclassified
75889,anomaly,5.403267938289165e-12,1.0558493316512092e-13,8.721956704619814e-17,-11.2673,-12.9764,-16.0594,-0.9617,-0.9983,0.24,-0.6196,1.081,0.072,82.13387,9.68526,0.36124843,7.5076976,ultra_soft
61356,anomaly,1.8075683453262049e-13,1.5664757621493027e-12,9.069022690885966e-12,-12.7429,-11.8051,-11.0424,0.7931,0.7054,0.014,-1.0,0.198,0.105,181.32539,-25.97909,0.3605889,7.4922447,ultra_hard
5016,xrb,1.2147650685709792e-14,9.265395970094465e-15,2.0879751925328775e-15,-13.9155,-14.0331,-14.6803,-0.1346,-0.6322,0.081,-1.0,2.949,0.1444,331.06168,56.81747,0.35866326,7.4471254,unclassified
54943,anomaly,6.369001177427142e-12,4.365428590539203e-12,2.573797976754439e-13,-11.1959,-11.36,-12.5894,-0.1866,-0.8886,0.012,-1.0,15.525,0.0002,112.38392,-21.43082,0.35799718,7.4315186,extreme_variable
53864,anomaly,1.739269077083476e-12,5.376321166715669e-14,3.2362072126483285e-17,-11.7596,-13.2695,-16.49,-0.94,-0.9988,0.151,-0.8213,3.012,0.1132,48.57578,-41.92439,0.35493308,7.359725,ultra_soft
75379,anomaly,4.145166774262989e-13,7.940089025260417e-16,3.302224813281651e-16,-12.3825,-15.1002,-15.4812,-0.9962,-0.4125,0.151,-0.822,1.164,0.117,320.86913,-87.10574,0.3545255,7.3501754,ultra_soft
696,anomaly,1.4908626205781777e-15,2.5197387493056845e-12,9.500608547528895e-12,-14.8266,-11.5986,-11.0222,0.9988,0.5808,1.867,0.2711,1.089,0.1689,12.16409,16.76808,0.35248658,7.302402,ultra_hard
49787,anomaly,8.203021296403594e-14,1.1780291533555217e-13,6.344700636758073e-12,-13.086,-12.9288,-11.1976,0.179,0.9635,0.035,-1.0,2.859,0.1663,16.04226,-44.38378,0.35247895,7.302223,unclassified
29767,xrb,1.3417853574419308e-13,6.384031210415404e-14,6.264595518483692e-14,-12.8723,-13.1949,-13.2031,-0.3552,-0.0094,0.118,-0.9269,3.265,0.1125,136.84256,-69.04272,0.3518708,7.287974,unclassified
4368,anomaly,1.3436966233591147e-12,4.015176288839553e-15,6.761550732678177e-15,-11.8717,-14.3963,-14.17,-0.994,0.2548,0.011,-1.0,3.989,0.0541,71.29257,66.38953,0.34785464,7.1938725,unclassified
29662,anomaly,7.210151819812072e-15,1.467246301880609e-13,3.2089967397872355e-12,-14.1421,-12.8335,-11.4936,0.9063,0.9126,0.083,-1.0,0.019,0.1285,149.70821,44.18107,0.34781033,7.1928344,ultra_hard
29834,anomaly,2.7132031845438122e-15,8.503386723005627e-15,1.3957404228061744e-13,-14.5665,-14.0704,-12.8552,0.5162,0.8851,0.054,-1.0,0.515,0.1889,242.02922,43.8744,0.34609994,7.152759,ultra_hard
26163,anomaly,8.36675301536607e-12,2.1369912274296138e-13,5.576249381426295e-14,-11.0774,-12.6702,-13.2537,-0.9502,-0.5861,2.151,0.3325,1.763,0.1425,52.96065,-37.30811,0.34558243,7.140633,ultra_soft
62296,anomaly,4.176191456185163e-12,7.252379222537903e-15,1.517097724155169e-14,-11.3792,-14.1395,-13.819,-0.9965,0.3531,2.238,0.3498,3.828,0.0022,303.68879,-45.93426,0.3455466,7.139794,unclassified
43055,xrb,8.598484333632832e-14,3.6937898538328285e-14,3.4647777199589085e-15,-13.0656,-13.4325,-14.4603,-0.399,-0.8285,0.108,-0.9655,2.35,0.1128,349.33785,54.51998,0.34354553,7.0929074,unclassified
64755,xrb,1.0981296573985364e-14,4.014967345408019e-15,2.8658512457420242e-15,-13.9593,-14.3963,-14.5427,-0.4645,-0.167,0.075,-1.0,3.789,0.1533,155.51745,-19.04865,0.34235612,7.0650387,unclassified
29900,anomaly,2.4738245530607418e-12,4.668877306395285e-14,1.973633771291155e-15,-11.6066,-13.3308,-14.7047,-0.963,-0.9189,2.694,0.4305,4.958,0.01,137.26638,28.14722,0.34196672,7.055915,ultra_soft
1414,anomaly,9.306211539992202e-15,1.857301057292218e-13,5.3974454618964e-12,-14.0312,-12.7311,-11.2678,0.9046,0.9335,0.127,-0.896,0.827,0.1354,181.37524,57.1556,0.34088755,7.030629,ultra_hard
51706,anomaly,8.780877746235117e-13,1.0609404456551836e-13,2.126515967446885e-13,-12.0565,-12.9743,-12.6723,-0.7844,0.3343,0.026,-1.0,9.972,0.0562,80.91715,-56.91253,0.34026268,7.0159883,extreme_variable
61850,xrb,1.0438276256579846e-15,5.126163027445262e-15,1.3069992678248075e-14,-14.9814,-14.2902,-13.8837,0.6616,0.4366,0.978,-0.0097,5.064,0.0742,223.8638,41.32747,0.34020722,7.0146885,unclassified
71965,anomaly,6.961703917400925e-13,1.9167430782844278e-15,1.0302149706821826e-16,-12.1573,-14.7174,-15.9871,-0.9945,-0.898,0.144,-0.8428,1.934,0.1178,12.98291,-53.97574,0.33988592,7.00716,ultra_soft
21794,anomaly,9.630450587589409e-12,1.1760446122667762e-14,7.613758201736438e-14,-11.0164,-13.9296,-13.1184,-0.9976,0.7324,0.824,-0.0842,1.21,0.0173,272.35479,-6.9926,0.33612728,6.919093,unclassified
30045,agn,1.4113654367515632e-14,9.08011163884942e-13,1.282819154277856e-12,-13.8504,-12.0419,-11.8918,0.9694,0.1711,1.865,0.2706,1.719,0.092,291.98208,77.29445,0.33462128,6.8838067,unclassified
62675,anomaly,8.763787940105226e-15,6.229440043989289e-13,1.9797123505008655e-12,-14.0573,-12.2056,-11.7034,0.9723,0.5213,1.807,0.257,1.88,0.0925,163.88179,-3.41165,0.33211046,6.8249764,ultra_hard
51803,xrb,1.2251476230334407e-14,9.214679546063754e-15,4.1876586081328814e-16,-13.9118,-14.0355,-15.378,-0.1415,-0.9131,0.314,-0.5032,2.807,0.0953,332.88082,64.63511,0.3290285,6.7527637,unclassified
49794,anomaly,1.1628672688146997e-13,2.7192367360256463e-16,7.319425310559919e-16,-12.9345,-15.5656,-15.1355,-0.9953,0.4582,0.193,-0.7141,3.424,0.0469,67.45082,-85.46415,0.3288044,6.7475133,unclassified
8290,xrb,5.100285636331082e-14,3.010783317331864e-14,3.302327427133145e-15,-13.2924,-13.5213,-14.4812,-0.2576,-0.8023,0.139,-0.8573,2.411,0.1031,13.52712,31.43781,0.32769397,6.721495,unclassified
62391,anomaly,3.222743742177277e-16,9.147717421039285e-15,1.0470136038983171e-13,-15.4918,-14.0387,-12.98,0.9319,0.8393,0.065,-1.0,1.004,0.1508,321.59316,75.576,0.32729197,6.712076,ultra_hard
13970,anomaly,1.4647265716830054e-15,3.53296222595434e-13,8.022982423083129e-12,-14.8342,-12.4519,-11.0957,0.9917,0.9156,0.102,-0.9924,2.09,0.1403,48.91339,51.25449,0.32584327,6.6781325,ultra_hard
34462,anomaly,2.4394182653530505e-12,7.175420523644844e-13,5.745168598273866e-13,-11.6127,-12.1442,-12.2407,-0.5454,-0.1107,0.105,-0.9779,19.823,0.1044,224.62645,-56.4023,0.32531247,6.665695,extreme_variable
76617,anomaly,5.3184840598833015e-12,1.1726968456505426e-14,4.710096282655563e-14,-11.2742,-13.9308,-13.327,-0.9956,0.6013,2.094,0.3209,4.681,0.0747,109.7415,77.27568,0.32511705,6.6611166,unclassified
24358,xrb,1.0497099592975889e-14,5.2454035949022015e-15,6.155821076600685e-16,-13.9789,-14.2802,-15.2107,-0.3336,-0.7899,0.499,-0.3017,4.12,0.0939,258.45234,2.21166,0.3246867,6.6510334,unclassified
18188,xrb,8.519153033007897e-15,1.3281200859972415e-14,3.2580487568424156e-14,-14.0696,-13.8768,-13.487,0.2184,0.4208,0.152,-0.8193,3.021,0.1399,17.83846,-78.75458,0.3241837,6.6392474,unclassified
22333,anomaly,2.2215327667990116e-12,1.2215555161160262e-14,7.619705810041887e-16,-11.6533,-13.9131,-15.1181,-0.9891,-0.8826,0.071,-1.0,2.249,0.0221,54.22257,85.17776,0.32417262,6.6389875,ultra_soft
