idx,ra,dec,redshift,type,plate,mjd,fiberid,recon_error,error_sigma
3313,9.99875,28.61948,2.103,qso,8736,57211,433,1.6569381,12.868142
12881,47.11472,-0.45965,3.2241,qso,9239,56670,677,1.6527425,12.834554
7302,138.53672,8.62719,3.1594,qso,7781,58801,86,1.6385651,12.721053
2929,103.41621,18.36658,3.1187,qso,9126,57847,226,1.6219552,12.5880785
38752,171.17753,-3.3955,2.2083,qso,5521,55656,666,1.6126841,12.513858
44758,319.0918,66.7952,2.2574,qso,10008,56808,638,1.5986265,12.401316
12781,341.07824,15.34763,0.506,qso,10027,58249,25,1.5924051,12.351509
25280,211.21704,20.90438,2.3653,qso,5465,57394,562,1.5815997,12.265004
39762,137.28809,50.84145,2.223,qso,4816,59361,811,1.539691,11.929495
43529,157.44809,41.69501,1.9733,qso,7576,56342,366,1.5390021,11.923979
7215,12.97346,-0.06107,2.5865,qso,8965,56891,944,1.5129498,11.715412
23220,301.43505,3.51132,1.5451,qso,11955,57827,535,1.5112523,11.701822
44629,177.42816,48.24126,2.1433,qso,3865,58619,192,1.5057876,11.658073
46778,266.07725,29.96587,2.4322,qso,3974,58402,111,1.5036297,11.640798
29123,284.42492,58.91231,2.5232,qso,11177,57080,692,1.4892501,11.525679
5457,168.22686,42.98913,2.7802,qso,9437,57886,790,1.4741018,11.404406
43503,173.43263,53.63713,1.5598,qso,7480,59002,336,1.470875,11.378573
39109,279.29847,58.15621,3.28,qso,6508,58241,390,1.4641067,11.324388
11862,274.62283,-3.93888,2.1674,qso,8591,58232,692,1.4545579,11.247943
7062,100.77178,61.02541,1.6439,qso,3971,57858,194,1.4412166,11.141135
24655,62.25695,27.2934,2.291,qso,4889,55463,335,1.4408914,11.138533
33218,239.19442,46.60695,3.4389,qso,8236,58588,294,1.4341158,11.084289
41083,114.14222,51.8092,3.3389,qso,4336,58995,957,1.4326763,11.072764
47114,78.61053,55.98745,2.1694,qso,9045,56582,882,1.4121808,10.908683
29256,276.79443,-9.11965,2.9732,qso,7976,55174,322,1.4085138,10.879326
29675,235.24296,-6.38276,3.3379,qso,11748,56690,217,1.4034789,10.839018
21739,275.06963,59.39402,2.938,qso,10575,56978,184,1.4019728,10.826961
12323,58.74956,4.03147,2.826,qso,9183,56932,480,1.3972354,10.789034
9350,355.94365,6.6912,2.0149,qso,5482,55699,770,1.3895545,10.727543
7232,101.3957,-1.57604,2.1353,qso,11246,57430,564,1.385372,10.694059
25821,81.39944,46.42797,1.5967,qso,9451,59138,233,1.378067,10.635577
753,224.22014,25.31333,2.595,qso,5755,57522,662,1.3738607,10.601903
7399,272.18328,6.92496,2.3933,qso,7780,56052,640,1.3571595,10.468198
27087,118.8813,38.759,3.4972,qso,11132,55683,45,1.351435,10.422368
26315,273.33436,35.4228,2.2685,qso,11104,55914,648,1.3369541,10.306439
31658,43.93389,20.70827,2.2382,qso,9922,55313,824,1.3367451,10.304766
8161,63.2618,25.09528,2.4425,qso,7589,55484,975,1.3350139,10.290906
12954,282.34413,69.95038,1.6652,qso,9233,59080,145,1.3331851,10.276265
1302,137.24456,0.93504,3.1461,qso,4497,58299,467,1.3312325,10.260633
12581,148.29947,5.81513,2.6051,qso,6357,58303,340,1.330345,10.253529
2094,207.13807,2.35047,2.0597,qso,5200,58090,586,1.3238609,10.201618
26890,79.91673,46.9908,2.1618,qso,11517,55931,513,1.3196797,10.168145
33705,306.97597,14.65682,2.1645,qso,5010,57122,969,1.3119227,10.106044
24996,341.10338,38.86093,2.9951,qso,7005,56537,227,1.2955596,9.975046
16531,300.52665,26.70259,2.5365,qso,6569,58981,936,1.2759417,9.81799
35649,47.90677,-5.04326,3.3947,qso,5487,56764,296,1.270665,9.775747
41994,211.43392,-6.72706,3.2748,qso,9285,55232,677,1.2694376,9.76592
27849,258.68096,5.90019,2.238,qso,3861,56172,963,1.2666613,9.743694
19432,265.31289,50.23044,1.6369,qso,8535,58335,375,1.266157,9.739657
25175,287.19146,-2.11625,1.1085,qso,9854,55194,486,1.2650357,9.73068
48774,214.52632,11.62769,2.7083,qso,8141,57377,281,1.2600563,9.690816
33127,308.37311,64.87106,2.6887,qso,10014,56325,766,1.2581955,9.67592
14809,80.60834,43.51801,3.2121,qso,10222,57784,950,1.2542443,9.644287
159,228.12453,1.62837,2.9249,qso,8592,55774,747,1.2525532,9.630749
24329,104.57303,16.06641,2.389,qso,10700,58367,836,1.2476865,9.591787
36834,270.59313,-0.55342,2.2217,qso,11290,58241,198,1.241022,9.538433
43098,265.01057,50.82955,3.1211,qso,7627,57412,438,1.238603,9.519067
35371,191.31857,33.66661,2.4872,qso,8576,59414,355,1.2380809,9.514887
9619,13.47733,63.24429,3.4792,qso,7787,58862,603,1.2371607,9.50752
7653,163.53868,19.39329,3.2033,qso,10129,57120,183,1.2348582,9.489087
9325,69.70521,-5.84001,1.9188,qso,5938,56173,62,1.2298291,9.448825
12728,293.31367,56.8629,2.0619,qso,11391,57154,321,1.2294803,9.446033
35159,183.71465,31.69771,2.7872,qso,6639,56193,190,1.2263463,9.420943
25218,286.23867,18.61872,1.0996,qso,4902,56575,854,1.224938,9.409669
18441,263.70212,36.31214,2.5425,qso,6688,55288,354,1.224591,9.406891
42136,41.57663,56.62313,2.5227,qso,9431,57516,923,1.221865,9.385068
14569,330.43831,45.99742,2.2213,qso,9285,57293,698,1.2195601,9.366615
26613,86.28843,-7.48011,1.0173,qso,7733,56967,448,1.2191199,9.3630905
24392,151.52092,-6.98432,3.0593,qso,10014,58144,49,1.2184744,9.357923
38403,260.28772,10.36696,3.148,qso,6842,57657,151,1.2164187,9.341466
45307,301.42438,57.14602,2.7623,qso,9368,57306,183,1.2161229,9.339097
21100,220.21168,32.12922,1.6675,qso,11036,57669,394,1.2098659,9.289006
48978,244.30312,37.59342,2.7479,qso,5193,57179,835,1.1933748,9.156982
44095,358.5415,65.85262,2.32,qso,5098,57704,413,1.1877527,9.111974
20945,177.93894,23.09173,3.064,qso,4031,57150,647,1.179941,9.049436
39554,336.50847,63.14805,2.3663,qso,4951,55099,121,1.1722383,8.98777
717,40.39641,55.77687,2.4982,qso,11600,58346,764,1.1705105,8.973937
38077,287.08225,-5.5949,3.2895,qso,5094,56386,28,1.1676716,8.951209
14271,290.26142,64.10442,0.9878,qso,5745,58340,5,1.1609297,8.897236
1502,226.85918,56.28372,1.6058,qso,5403,59002,239,1.1593047,8.884227
28217,295.21305,29.28165,2.1772,qso,5921,56245,62,1.1586084,8.878653
22953,38.80297,12.42235,1.7266,qso,3574,57197,930,1.1581565,8.875034
12171,99.57828,55.19765,2.5961,qso,6157,55199,800,1.1472049,8.787358
17936,28.65319,53.26426,1.0619,qso,9417,58677,900,1.1396326,8.726737
31367,317.64689,62.97887,2.0579,qso,6354,55585,233,1.1394713,8.725446
1383,184.83087,-8.20124,2.565,qso,5357,59056,990,1.1378094,8.712141
12386,168.03874,40.28096,3.4525,qso,7231,55186,443,1.1261238,8.618589
36218,20.40142,-8.563,2.8152,qso,9789,55022,880,1.1250199,8.609752
32304,224.81039,44.13621,3.3124,qso,7373,57461,201,1.1249803,8.609435
4264,13.21407,14.87533,3.1837,qso,8691,58663,866,1.1210792,8.578204
39137,69.94937,13.10398,2.8905,qso,6065,59047,700,1.1186309,8.558603
41053,128.8633,37.29079,2.5681,qso,10905,58786,172,1.1163135,8.5400505
22252,145.20466,58.14354,1.6134,qso,8719,59206,943,1.1133854,8.516609
32494,276.14598,57.10514,2.3078,qso,9095,58638,955,1.1113338,8.500185
42877,248.46188,35.78066,1.6944,qso,11793,55311,79,1.1067721,8.463665
16450,57.52428,50.8409,2.6463,qso,5055,58316,406,1.106052,8.4579
4536,300.85008,-6.81345,2.8856,qso,6170,57276,804,1.1055707,8.454046
32252,287.44436,41.86804,2.5642,qso,3718,55246,110,1.1038541,8.440304
10317,321.37331,52.87452,3.1519,qso,3575,55236,810,1.1021869,8.426957
1650,98.75254,45.72657,3.0613,qso,10257,55300,439,1.0913564,8.340251
26549,122.52849,36.02815,3.1974,qso,6115,57312,480,1.085182,8.29082
17513,111.9982,58.55905,2.4537,qso,10603,57585,210,1.0843759,8.284367
33485,134.46594,30.98079,2.2396,qso,8982,58782,722,1.080287,8.251633
38912,63.00301,22.31155,2.3593,qso,7277,58944,376,1.0759368,8.216806
21076,207.86025,21.06987,0.9831,qso,7406,58817,431,1.06997,8.169038
24005,181.73382,15.11475,3.489,qso,4947,57763,320,1.0685043,8.157304
29037,273.75484,22.41046,3.1154,qso,10038,58379,604,1.0684409,8.156796
4375,168.19323,17.49189,1.5297,qso,4229,58780,98,1.068286,8.155556
22224,299.7382,66.35913,2.471,qso,11208,57650,581,1.0662223,8.139034
45662,304.13394,49.96109,3.1578,qso,4334,58539,153,1.0480076,7.9932127
5653,242.03859,61.45105,2.6483,qso,6064,58389,127,1.0439669,7.9608636
46875,313.62248,36.98375,2.098,qso,8200,58050,790,1.0389115,7.9203916
1553,137.23517,4.9995,2.6672,qso,9825,55576,19,1.0382534,7.9151235
44851,229.67335,27.28706,3.4947,qso,8385,57670,718,1.0378841,7.9121666
45872,110.19523,-0.02262,1.983,qso,10789,57721,23,1.0340114,7.8811626
7919,333.28055,52.92347,2.9692,qso,8010,57292,481,1.0319964,7.8650312
28795,214.58147,63.23135,1.9931,qso,6156,55790,846,1.0315686,7.8616066
41857,147.35751,0.29569,0.7681,qso,5788,55540,471,1.0260448,7.8173847
37445,141.37603,43.00997,2.1938,qso,4329,58027,437,1.0214312,7.7804494
8934,337.07895,8.42877,2.0523,qso,8565,59082,449,1.0190437,7.7613354
28872,141.79461,57.35239,2.7988,qso,8408,58953,144,1.0181108,7.7538667
24013,224.32395,0.58804,3.4286,qso,9806,59116,990,1.0161601,7.7382503
2908,257.67221,41.25356,2.4382,qso,11871,55628,279,1.0139816,7.7208095
16011,156.7878,23.60843,2.3079,qso,5865,57649,545,1.0101252,7.689936
9111,169.49629,54.11627,3.2892,qso,11455,59396,995,1.010105,7.689775
39917,149.90358,37.83022,2.6127,qso,4089,55841,43,1.0056968,7.654484
26965,78.04279,5.37684,1.5818,qso,8895,57543,551,1.0003297,7.6115165
27640,245.16113,-9.32832,2.8655,qso,10595,59195,915,1.0002234,7.6106653
25086,26.02904,39.47755,2.6416,qso,9705,55344,23,0.9960795,7.5774903
20718,242.96682,48.42303,1.7075,qso,7225,59350,3,0.9943888,7.5639553
41966,87.31679,4.38275,2.8703,qso,10707,55430,773,0.9943613,7.563735
18331,175.94736,10.35486,3.1949,qso,8619,56759,979,0.9924831,7.5486984
4664,268.74178,13.52426,0.3407,qso,4740,59412,438,0.9882681,7.5149546
26316,50.78739,2.87228,2.4214,qso,4598,57843,207,0.9879693,7.5125623
44647,242.84425,19.14753,2.8569,qso,7804,56718,310,0.9873823,7.507863
24441,84.1916,-9.21395,2.5591,qso,8005,56689,321,0.97360456,7.397562
4299,102.02439,13.94237,3.2445,qso,3692,56057,565,0.9682268,7.3545094
44259,179.82419,18.76877,2.7877,qso,10743,58710,744,0.9652908,7.3310046
38200,221.49058,50.05338,2.598,qso,6090,55762,742,0.9644931,7.3246183
20550,210.46518,13.47473,1.5501,qso,8135,57256,99,0.9570509,7.2650385
4970,135.3921,62.99294,2.4046,qso,9463,55191,446,0.95641804,7.2599716
21058,266.07985,-9.95811,2.486,qso,5932,57680,675,0.9556677,7.2539644
11568,192.40028,7.77427,2.3184,qso,7466,59343,836,0.9545833,7.245283
34760,315.18624,-4.90432,0.4713,qso,7949,57992,329,0.9528636,7.2315154
43989,177.79672,38.61714,2.3227,qso,9519,56238,30,0.9493261,7.2031956
31090,137.86942,9.18348,2.3515,qso,4483,59361,147,0.94443434,7.1640334
36485,195.69769,5.89895,2.3775,qso,9650,59202,456,0.9424238,7.147938
26441,303.02922,35.80806,2.9905,qso,10172,56248,529,0.9420804,7.1451883
9149,274.74632,-9.73995,3.1946,qso,7780,59076,920,0.93993914,7.128046
34003,118.61656,38.11161,1.0331,qso,6322,57965,179,0.9380422,7.11286
4898,39.036,56.61425,2.8181,qso,9174,58270,608,0.93666154,7.1018066
26102,2.25363,20.5454,3.2468,qso,7943,56107,779,0.9363063,7.098963
35269,38.96458,31.52001,2.9284,qso,6342,55311,374,0.93464416,7.085656
16782,227.40352,52.02492,0.3512,qso,6267,56500,368,0.93299985,7.072492
11628,187.98495,7.09296,2.5194,qso,4323,56784,170,0.93198127,7.0643377
45916,268.42703,36.79125,1.6021,qso,5046,56243,932,0.93059665,7.0532527
40139,4.40387,-5.35157,2.5322,qso,10741,57166,655,0.92891103,7.039758
5782,4.14586,66.29428,2.1707,qso,10698,59298,268,0.9288827,7.0395317
23101,94.34767,-7.90478,2.5322,qso,5454,55586,175,0.92659247,7.0211964
25426,68.18444,53.63275,2.8571,qso,8545,59397,741,0.9264601,7.0201364
33142,32.32123,46.72123,2.2495,qso,10143,59250,143,0.92023087,6.9702673
11147,326.37018,26.36159,1.5911,qso,9475,57348,501,0.9174194,6.947759
1299,217.67413,69.50346,1.5988,qso,11531,55400,174,0.9165265,6.940611
26539,206.44827,-0.96666,2.8692,qso,5510,57164,223,0.9149418,6.927924
25198,134.65014,22.90957,2.808,qso,10657,59238,31,0.91044474,6.891922
941,329.82553,10.96523,2.1532,qso,7414,56014,81,0.90897065,6.8801208
46877,200.76873,33.92531,2.9343,qso,10427,58240,414,0.90682936,6.8629785
31189,65.64371,11.44785,0.4692,qso,6099,56338,182,0.90602154,6.856511
30520,258.76937,46.36767,2.9211,qso,7321,58923,376,0.9044528,6.843952
5673,11.66536,22.92838,3.2491,qso,11743,56944,11,0.8998027,6.8067245
17062,27.07709,-0.09112,2.353,qso,6719,57606,131,0.8996764,6.8057137
37241,290.48053,-5.22667,3.0612,qso,4709,57701,372,0.89479446,6.76663
15163,100.74787,5.13569,3.4608,qso,3567,58461,166,0.89221525,6.7459817
40097,282.20143,64.95314,3.244,qso,5039,56347,827,0.89205617,6.744708
3801,284.87607,49.16013,2.7368,qso,10062,57431,548,0.89099467,6.7362103
48700,309.50399,0.2253,3.4979,qso,4928,57146,752,0.8884072,6.7154956
42782,348.99476,14.41158,3.3888,qso,6968,56735,758,0.8785074,6.6362405
24994,147.53131,50.96545,1.6771,qso,9591,56161,973,0.8772522,6.626192
30766,299.40051,63.69549,1.4467,qso,6662,57837,122,0.87656516,6.6206913
19875,283.27126,24.94486,1.3241,qso,7709,55542,470,0.87514365,6.609311
34785,185.43919,55.25494,1.4734,qso,11615,56376,294,0.8747571,6.606217
10233,5.81586,-3.91788,2.6421,qso,5005,56436,174,0.8734709,6.5959196
23911,179.68273,28.73773,0.5289,qso,7039,55042,511,0.87202513,6.5843453
2948,263.57935,17.59422,1.6244,qso,6177,58762,382,0.8711618,6.577434
36844,325.81995,12.90852,1.6497,qso,5975,58310,618,0.86973894,6.5660424
30942,282.43681,-0.71358,3.3982,qso,8582,56729,765,0.86822224,6.5539002
3761,22.69438,65.37927,2.3751,qso,9561,56647,198,0.8644002,6.523302
27760,261.32628,60.61798,1.4434,qso,10620,56184,943,0.856056,6.4565005
43752,130.26547,17.13287,0.4594,qso,7762,55942,929,0.8510219,6.416199
23119,56.11842,19.12734,1.8396,qso,5713,59340,740,0.84814703,6.3931837
12366,166.27844,64.78288,0.4289,qso,6707,59346,562,0.84749764,6.3879848
46991,49.76529,53.35667,2.399,qso,3883,58695,198,0.84638053,6.3790417
8586,352.45292,-3.38332,2.1056,qso,3949,56146,10,0.8423379,6.3466773
9549,172.62191,57.46263,2.4027,qso,7028,58542,768,0.84045434,6.3315983
34515,59.32407,49.48944,2.4288,qso,7591,59418,481,0.8377373,6.3098464
10020,217.24296,41.99898,1.5178,qso,11087,55717,419,0.8344491,6.283522
31284,190.42591,32.16227,3.4794,qso,5177,59296,150,0.8340223,6.280105
38526,168.44724,37.02409,3.1779,qso,5227,56378,681,0.83179384,6.2622647
41813,16.46521,24.81879,2.2951,qso,10996,59056,69,0.8311829,6.2573733
9100,145.11487,17.78958,1.954,qso,9390,57601,584,0.8304228,6.2512884
23705,5.19254,43.66623,2.6411,qso,5455,55612,649,0.82917947,6.2413344
1082,261.40424,22.13873,0.3834,qso,6343,56900,962,0.82611656,6.216814
6276,220.82781,69.66558,2.1372,qso,7935,59458,454,0.82551503,6.211998
12140,302.17257,46.89772,2.5424,qso,5443,58719,520,0.8254539,6.2115088
8659,70.52326,13.83761,3.1129,qso,8570,55741,968,0.82211965,6.184816
4416,60.3038,12.51324,2.2189,qso,10121,58667,808,0.8195168,6.1639776
23268,196.00486,20.59928,1.3973,qso,9762,57603,405,0.81642836,6.1392527
15255,74.66785,57.20941,2.147,qso,6687,57504,901,0.81541455,6.1311364
2205,243.72192,67.83292,1.1818,qso,4399,56010,544,0.815261,6.129907
29194,115.81287,7.69731,3.0259,qso,3526,58398,554,0.8152017,6.1294327
30818,285.09908,23.17893,2.559,qso,7713,59142,1000,0.8123887,6.1069126
162,67.14114,-2.95367,2.697,qso,11580,59495,641,0.8122799,6.1060414
36268,186.80504,15.36226,1.6197,qso,9905,55454,99,0.81095326,6.095421
18140,238.28089,63.72009,2.5506,qso,10088,57111,731,0.809976,6.087597
16603,296.74812,55.38231,0.7484,qso,8929,56152,788,0.80824715,6.073756
42811,110.5014,2.99278,3.3901,qso,11802,57239,898,0.8071787,6.065202
2419,105.19646,40.1186,3.0878,qso,11827,56778,786,0.80708134,6.064423
21966,252.70851,18.26987,3.1265,qso,6299,58858,55,0.8035879,6.0364556
36185,348.94435,15.32896,1.0621,qso,10185,57687,590,0.79906,6.0002065
23878,90.19138,11.77302,1.3441,qso,8776,58352,663,0.7985482,5.9961095
26862,6.81279,3.51424,2.4645,qso,5149,56930,696,0.79367226,5.9570737
48834,85.05613,-1.29298,1.4857,qso,9193,57842,776,0.793154,5.9529247
31984,201.81434,4.20515,0.319,qso,6726,56913,117,0.79282933,5.9503255
48939,302.80287,0.01439,1.6397,qso,3763,58076,945,0.7922351,5.945568
41472,56.37325,23.00471,3.3026,qso,11862,56600,460,0.79163,5.9407244
22104,33.85904,52.92787,0.9845,qso,4160,56773,692,0.7910935,5.936429
33979,6.1898,62.15109,2.982,qso,3945,58478,408,0.7907131,5.9333835
32112,258.85035,3.4627,2.4854,qso,11350,55841,104,0.79066616,5.9330077
20368,356.04249,44.99644,1.9492,qso,8682,58898,761,0.78878486,5.9179463
35753,277.64273,11.38116,0.4197,qso,9106,59189,139,0.7803508,5.8504257
26614,344.99444,-2.85169,2.2973,qso,6378,58501,105,0.77799356,5.8315544
42139,332.06115,9.75928,0.5279,qso,3843,56588,725,0.7754108,5.8108773
26148,339.92636,27.69662,1.6138,qso,7844,56910,698,0.7716787,5.780999
10455,130.80878,0.78655,2.8709,qso,9765,55658,119,0.77111745,5.776506
5305,253.65924,31.45748,3.1048,qso,6858,59031,770,0.7704799,5.7714024
5116,266.61748,9.89239,1.9684,qso,10104,58374,218,0.7687133,5.757259
47402,154.00088,66.2054,2.4687,qso,8756,58277,260,0.7650192,5.727685
7489,208.6279,67.88997,3.3077,qso,6683,58516,322,0.7640955,5.72029
24400,14.35087,58.30233,1.7097,qso,6813,56449,283,0.7625719,5.7080927
49242,112.28829,14.46158,3.4114,qso,10187,56330,166,0.76200235,5.703533
45273,137.03625,65.99772,3.0538,qso,4388,56229,179,0.76183283,5.702176
31875,123.71221,-9.71142,2.16,qso,10961,58893,729,0.76176107,5.7016015
31786,72.97489,-0.95664,2.5802,qso,9454,58417,606,0.760127,5.6885195
28933,70.04583,52.97167,3.024,qso,5031,58466,422,0.75923663,5.6813917
4908,149.12647,44.25773,2.2928,qso,6448,57280,250,0.7577604,5.6695733
21730,175.96533,31.7708,2.1513,qso,5834,59325,936,0.75425005,5.6414704
16790,275.74705,69.5008,2.3557,qso,8668,58141,862,0.75282305,5.6300464
44086,8.49058,39.50743,3.0031,qso,4143,59252,22,0.7527088,5.6291313
47714,336.38233,64.26478,2.6462,qso,7817,59135,308,0.75138247,5.618513
6642,246.06758,-7.02621,2.3864,qso,10191,56513,567,0.7509803,5.615294
29906,111.3419,-1.83038,1.0099,qso,7389,57304,322,0.75070965,5.6131268
22229,87.14059,54.80495,2.1293,qso,4438,58909,707,0.7480254,5.5916376
16756,349.92185,5.29053,1.9511,qso,10631,57255,412,0.7479014,5.590645
24305,344.09751,52.86959,1.0491,qso,8389,56691,319,0.7476339,5.588503
22287,30.53084,48.10484,2.8344,qso,4150,56624,831,0.7459839,5.575294
10969,215.72236,26.44538,2.0911,qso,4114,57288,551,0.7458616,5.5743146
36390,24.41563,13.25011,2.5001,qso,5281,55463,29,0.74549615,5.571389
10380,61.06528,55.05876,1.3904,qso,10543,59444,900,0.7453615,5.570311
27196,142.70768,68.75524,0.4563,qso,6025,55266,871,0.74442863,5.562843
13252,324.9641,-7.91886,2.8035,qso,10171,56487,524,0.7441605,5.560696
25116,13.2013,24.63601,1.5469,qso,10615,57057,219,0.7402539,5.5294213
11219,270.71812,30.8548,1.4054,qso,8300,56498,946,0.740123,5.528373
23302,177.69917,48.69603,2.5553,qso,3627,58244,303,0.7373013,5.505783
34604,340.02577,56.58057,1.8794,qso,4664,58814,241,0.73618495,5.496846
19261,7.72173,63.95506,2.1723,qso,11351,56194,755,0.7359842,5.495239
45839,250.87492,41.88777,1.0151,qso,4481,58068,979,0.733062,5.4718447
280,144.91857,4.23167,2.0204,qso,8004,57554,967,0.73288554,5.470432
19770,300.54373,10.89512,2.4038,qso,8389,59371,20,0.73201007,5.4634233
43698,40.39248,46.14174,3.3982,qso,8291,55153,767,0.7316462,5.46051
47219,93.92518,41.3371,0.3323,qso,6602,55997,528,0.73116636,5.456669
16706,248.47719,22.82356,2.503,qso,5314,58462,422,0.7309443,5.4548907
2684,40.78812,34.57972,2.62,qso,8680,55357,978,0.73063123,5.4523845
16307,127.96722,-4.1176,0.9532,qso,6964,58905,967,0.7302161,5.449061
20920,225.47133,34.5613,1.6604,qso,4878,55340,527,0.72990465,5.4465675
32175,34.85514,69.37298,3.0191,qso,4651,58034,896,0.7293344,5.442003
43285,35.65376,51.06817,1.8967,qso,10064,58467,257,0.7276581,5.4285827
11838,271.45355,60.56582,2.2532,qso,7967,56927,343,0.7272576,5.4253764
21742,340.85885,16.09525,3.365,qso,4172,59387,857,0.7266915,5.420844
34478,292.38169,-4.13433,2.5741,qso,11101,56186,304,0.72641426,5.418625
42408,206.11465,41.40314,2.1914,qso,6809,56467,763,0.72483295,5.4059653
6106,19.82075,0.36864,2.3351,qso,5968,57146,660,0.72483003,5.405942
17381,73.54115,20.10705,2.331,qso,10287,58668,785,0.72182745,5.381904
79,348.10937,56.7149,2.6118,qso,5941,58127,544,0.7210798,5.375919
29546,290.36114,1.35112,2.1266,qso,7034,57048,601,0.7184457,5.3548307
47330,20.67573,42.65557,3.419,qso,7227,56191,359,0.7180348,5.351541
15098,308.11625,24.58,2.2337,qso,5003,58477,649,0.7169799,5.343096
11659,33.94905,52.12785,2.8637,qso,7559,55874,867,0.71617913,5.336685
27362,29.8376,37.01586,1.3633,qso,7628,58280,884,0.71355206,5.3156533
25080,117.30662,63.08218,2.5721,qso,6293,56729,735,0.71327645,5.313447
48174,242.46813,44.68753,1.3928,qso,5356,55894,554,0.7091911,5.2807407
18002,311.68986,15.80982,1.9038,qso,6252,57131,35,0.70899063,5.2791357
22340,330.39675,46.14268,1.483,qso,9286,55124,33,0.7083307,5.2738523
6625,242.59415,32.26421,2.7286,qso,4967,59401,800,0.70796865,5.270954
32941,250.62549,25.74383,2.8275,qso,8656,55609,555,0.7052252,5.248991
32200,88.5301,38.41544,2.4703,qso,4763,56846,659,0.7051628,5.2484913
30898,272.84946,22.43956,2.5111,qso,9396,58010,637,0.70423275,5.2410455
7642,221.31169,6.36829,2.7004,qso,8535,55458,45,0.70281786,5.229718
24307,103.21296,24.40766,3.08,qso,9603,59336,885,0.7022116,5.224865
47913,184.19063,65.47712,1.438,qso,8297,59488,80,0.70184815,5.2219553
35656,97.2179,41.65191,2.1585,qso,6382,57543,864,0.7008794,5.2141995
25491,359.44026,68.82365,2.6712,qso,11007,58748,734,0.7002779,5.2093844
30370,109.6174,-0.55473,1.5538,qso,11156,58576,951,0.6988119,5.1976476
20787,274.41404,2.62223,1.0252,qso,10083,57001,275,0.695869,5.174088
18680,81.90656,55.78334,0.6729,qso,6513,55349,590,0.6954661,5.170862
31406,167.34406,53.29934,3.0567,qso,6425,56190,228,0.6933914,5.1542525
30946,33.87157,16.97511,2.9289,qso,9375,57318,374,0.69237673,5.1461296
34193,283.81365,63.77815,2.5704,qso,8370,57323,455,0.69209653,5.1438866
15154,160.10241,-7.05545,2.4101,qso,6019,58607,411,0.6910218,5.1352825
2182,218.46893,7.24977,2.4481,qso,9352,57521,919,0.6898422,5.1258388
44743,124.76249,22.37314,1.991,qso,7494,58424,40,0.68979037,5.125424
47408,305.82714,27.63239,3.3891,qso,8854,55760,930,0.68941414,5.1224117
29908,226.09029,18.19039,0.9335,qso,6639,57081,451,0.688358,5.113957
20931,299.74798,8.64313,3.2406,qso,3543,57737,939,0.687993,5.1110344
31801,69.55683,55.62457,1.8071,qso,7486,59488,559,0.6870618,5.1035795
