source_id,type,mag_F115W,mag_F150W,mag_F200W,mag_F277W,mag_F356W,mag_F444W,F115W_F150W,F150W_F200W,F200W_F277W,F277W_F356W,F356W_F444W,lya_ew,continuum_slope,balmer_break,oiii_ew,ha_ew,photo_z,ra,dec,recon_error,error_sigma,jwst_class
35070,dropout,35.0,26.382,26.214,25.837,26.408,26.114,72.6176,0.168,0.3774,-0.5709,0.2937,200.92,-1.65,0.32,526.73,0.0,9.008,96.23545,37.38306,13.261946,8.535702,high_z_dropout_candidate
40674,dropout,35.0,28.778,27.596,27.903,27.891,27.598,70.2222,1.1813,-0.3064,0.0121,0.2931,115.95,-2.999,0.447,1536.42,0.0,10.26,63.16441,24.93371,13.234204,8.516974,high_z_dropout_candidate
28215,dropout,35.0,28.845,28.973,28.879,28.855,28.785,70.155,-0.1282,0.0947,0.024,0.0694,2.43,-2.403,0.764,1628.68,0.0,9.963,224.75855,47.46266,13.071676,8.407262,ultra_high_z_candidate
25265,dropout,35.0,26.113,26.401,26.511,26.27,26.099,72.8868,-0.2878,-0.1096,0.2402,0.1713,51.76,-2.097,0.834,896.44,0.0,9.503,243.00248,16.44243,12.993624,8.354572,high_z_dropout_candidate
46124,dropout,35.0,26.659,26.615,26.71,27.04,27.082,72.3409,0.044,-0.0948,-0.3303,-0.0415,2.51,-2.722,0.704,1080.21,0.0,9.23,100.94811,-87.17847,12.943681,8.320859,high_z_dropout_candidate
37364,dropout,35.0,30.276,28.804,29.479,29.18,29.161,68.7245,1.4719,-0.6755,0.2995,0.019,68.6,-2.485,0.9,1759.54,0.0,10.474,221.38715,-66.05687,12.93902,8.317713,ultra_high_z_candidate
19835,dropout,35.0,31.511,30.239,30.268,30.245,29.874,67.4891,1.272,-0.0289,0.0228,0.3714,50.94,-2.551,0.512,1903.14,0.0,10.292,239.05677,21.05495,12.925526,8.308603,ultra_high_z_candidate
10010,anomaly,25.52,26.019,26.82,23.719,26.744,23.232,-0.4994,-0.8007,3.1011,-3.0247,3.5115,14.86,-1.77,0.782,6.74,836.67,10.047,147.56194,-24.79539,12.911043,8.298827,ultra_high_z_candidate
1082,anomaly,25.458,25.46,25.578,25.304,21.572,25.408,-0.002,-0.1187,0.274,3.7319,-3.8359,361.07,-0.107,3.817,1.54,202.69,5.007,97.89644,36.90488,12.906991,8.296092,extreme_emission_line
39768,dropout,35.0,26.144,26.083,25.956,26.106,25.963,72.8555,0.0617,0.1265,-0.15,0.1431,30.17,-2.502,0.408,846.64,0.0,9.838,267.7645,76.63616,12.8757,8.274969,high_z_dropout_candidate
9347,anomaly,28.77,26.709,26.16,29.666,26.103,28.872,2.0617,0.5484,-3.5061,3.5633,-2.7687,99.38,2.65,3.992,425.85,260.82,5.267,348.19621,-24.19167,12.770152,8.20372,extremely_red_object
14535,anomaly,21.997,25.593,21.865,25.576,22.263,25.609,-3.5957,3.7285,-3.7111,3.3133,-3.3469,57.36,0.993,3.556,66.29,126.53,11.92,127.92151,42.69912,12.751947,8.191431,ultra_high_z_candidate
3750,anomaly,25.091,23.164,22.783,25.205,22.379,25.559,1.9267,0.3808,-2.4214,2.826,-3.1799,487.75,2.317,3.762,288.91,173.76,3.821,12.75541,6.02979,12.71642,8.167449,extremely_red_object
12596,dropout,35.0,25.92,25.842,26.257,25.934,26.365,73.0798,0.0786,-0.415,0.3229,-0.4317,60.57,-2.208,0.369,85.6,0.0,9.869,293.50411,11.14355,12.673506,8.138479,high_z_dropout_candidate
40691,dropout,35.0,26.163,26.352,26.244,26.448,26.484,72.8369,-0.1886,0.1076,-0.204,-0.0362,11.57,-1.977,0.629,827.32,0.0,9.114,267.34174,-16.07478,12.605697,8.092706,high_z_dropout_candidate
38581,dropout,35.0,26.803,27.149,26.709,27.013,26.632,72.1971,-0.3461,0.4395,-0.3037,0.3815,224.65,-2.799,0.772,37.44,0.0,9.061,54.28641,61.03491,12.588624,8.081181,high_z_dropout_candidate
16200,anomaly,25.174,25.444,25.182,25.148,21.522,25.308,-0.2694,0.2619,0.0339,3.6262,-3.786,446.54,-0.589,3.154,109.05,35.76,13.779,328.11823,36.15571,12.532593,8.043357,ultra_high_z_candidate
40244,dropout,35.0,35.0,29.621,29.724,29.228,29.54,0.0,69.3791,-0.1028,0.4956,-0.3122,26.77,-2.08,0.4,2035.27,0.0,13.3,185.55215,-17.22572,12.496125,8.01874,ultra_high_z_candidate
36994,dropout,35.0,25.706,26.208,26.094,26.03,26.226,73.2936,-0.5013,0.1138,0.0636,-0.1959,14.32,-1.737,0.331,286.63,0.0,9.648,349.93118,-79.90718,12.466136,7.998496,high_z_dropout_candidate
41806,dropout,35.0,26.483,26.252,26.241,26.335,26.58,72.5174,0.2303,0.0115,-0.094,-0.2452,15.88,-1.677,0.711,900.77,0.0,10.113,207.97892,-28.99383,12.457334,7.992554,high_z_dropout_candidate
16835,dropout,35.0,26.078,26.452,26.118,25.679,26.317,72.9219,-0.3736,0.3339,0.4387,-0.6382,104.87,-2.001,0.707,156.16,0.0,9.085,117.41934,64.83253,12.4120655,7.961996,high_z_dropout_candidate
24239,dropout,35.0,25.785,26.209,25.927,25.872,25.769,73.2145,-0.4235,0.2824,0.0548,0.1032,48.7,-1.706,0.956,188.38,0.0,9.534,145.93347,-35.80174,12.383871,7.942964,high_z_dropout_candidate
22371,dropout,35.0,26.371,26.427,26.543,26.236,26.537,72.6288,-0.0555,-0.1161,0.3063,-0.3008,78.89,-1.864,0.588,788.37,0.0,9.294,102.85152,44.84593,12.343281,7.9155636,high_z_dropout_candidate
12297,dropout,35.0,26.211,25.727,26.439,25.882,26.367,72.7891,0.4839,-0.7116,0.5571,-0.4857,60.26,-2.497,0.474,336.5,0.0,10.204,359.0841,-11.11403,12.255484,7.856297,high_z_dropout_candidate
2509,dropout,35.0,25.92,26.357,26.305,25.793,26.134,73.0799,-0.4373,0.052,0.5121,-0.3405,32.92,-2.4,0.982,522.34,0.0,10.12,274.28386,-57.40673,12.2264185,7.8366766,high_z_dropout_candidate
23497,dropout,35.0,27.268,26.166,26.218,26.352,26.384,71.7319,1.1018,-0.0522,-0.1337,-0.0322,19.32,-1.743,0.646,1077.16,0.0,10.829,52.71287,-1.35662,12.20174,7.820018,high_z_dropout_candidate
30860,dropout,35.0,26.327,26.291,26.58,26.598,26.302,72.6729,0.0361,-0.2895,-0.0171,0.296,122.97,-2.351,0.575,129.22,0.0,9.96,303.37679,8.44462,12.190261,7.8122687,high_z_dropout_candidate
28781,dropout,35.0,28.045,26.363,26.507,26.507,26.12,70.9546,1.6823,-0.1441,-0.0002,0.3876,24.29,-2.372,0.412,1255.94,0.0,10.879,92.7034,-19.66601,12.165944,7.795854,high_z_dropout_candidate
34117,dropout,35.0,26.366,26.583,26.632,26.37,26.692,72.6344,-0.2171,-0.0494,0.2621,-0.3217,101.11,-2.058,0.67,675.91,0.0,9.031,29.83807,-54.39677,12.150561,7.78547,high_z_dropout_candidate
45810,anomaly,27.481,25.399,27.724,24.522,27.468,24.705,2.0823,-2.3247,3.2014,-2.9452,2.7627,11.02,2.708,2.716,842.74,495.9,6.615,217.80098,-35.73078,12.150309,7.7852993,extremely_red_object
38325,dropout,35.0,26.146,26.265,25.879,26.36,26.252,72.8536,-0.1184,0.3857,-0.4812,0.1082,23.6,-2.214,0.922,572.79,0.0,9.779,338.48112,-50.27071,12.129648,7.771353,high_z_dropout_candidate
48198,dropout,35.0,27.934,26.677,26.755,27.132,27.242,71.0663,1.2571,-0.0784,-0.3774,-0.11,35.26,-1.784,0.621,1230.93,0.0,11.564,160.68974,-44.33353,12.117051,7.7628493,high_z_dropout_candidate
24747,dropout,35.0,29.039,29.043,28.55,28.957,29.03,69.9609,-0.0041,0.4932,-0.4075,-0.0728,381.07,-1.661,0.962,87.13,0.0,10.136,3.59942,70.90192,12.0967245,7.749128,ultra_high_z_candidate
32628,dropout,35.0,26.177,26.896,26.246,26.727,26.361,72.8233,-0.7195,0.6503,-0.4809,0.3659,62.26,-2.751,0.7,72.5,0.0,9.308,80.68786,27.4949,12.08831,7.743448,high_z_dropout_candidate
14919,dropout,35.0,27.212,26.027,25.82,26.049,25.995,71.7884,1.1842,0.2078,-0.229,0.0531,3.62,-1.937,0.567,1017.59,0.0,11.03,234.12351,-39.14429,12.087576,7.742952,high_z_dropout_candidate
6600,dropout,35.0,26.102,25.936,26.113,26.093,25.851,72.8978,0.1662,-0.1767,0.0195,0.242,42.08,-2.458,0.445,32.79,0.0,9.378,43.77637,42.42706,12.0666685,7.728839,high_z_dropout_candidate
5288,dropout,35.0,26.049,25.897,25.798,25.942,25.93,72.9514,0.1513,0.0993,-0.1437,0.0122,11.09,-1.565,0.671,230.85,0.0,10.129,153.21726,21.04547,11.962214,7.658328,high_z_dropout_candidate
16139,dropout,35.0,25.932,26.166,26.26,26.182,26.058,73.0683,-0.2344,-0.0939,0.0785,0.1234,7.04,-1.929,0.989,165.21,0.0,9.468,117.12169,78.43565,11.949739,7.6499066,high_z_dropout_candidate
27120,dropout,35.0,26.138,25.767,26.159,25.939,26.156,72.862,0.3713,-0.3923,0.2198,-0.2171,25.69,-1.592,0.736,440.44,0.0,8.958,102.47411,-40.27749,11.92907,7.6359544,high_z_dropout_candidate
19247,dropout,35.0,26.366,25.893,26.098,25.911,26.187,72.6344,0.4723,-0.2044,0.1864,-0.2755,95.58,-2.105,0.586,273.15,0.0,10.121,263.78654,-86.42909,11.909922,7.623028,high_z_dropout_candidate
21104,dropout,35.0,26.636,26.407,26.713,26.865,26.225,72.3638,0.2288,-0.3059,-0.1517,0.64,51.74,-2.783,0.338,797.93,0.0,10.02,120.15402,15.1944,11.906374,7.620633,high_z_dropout_candidate
8795,anomaly,27.349,25.897,28.482,25.23,28.5,24.663,1.4523,-2.5849,3.2512,-3.2696,3.8373,97.6,1.96,0.786,81.93,81.08,11.629,266.70567,40.64212,11.90135,7.617242,ultra_high_z_candidate
35624,dropout,35.0,26.128,26.123,26.139,26.311,26.324,72.8721,0.0046,-0.0157,-0.1724,-0.0122,23.77,-2.424,0.639,83.46,0.0,10.114,297.12065,54.90389,11.8966875,7.6140943,high_z_dropout_candidate
40700,dropout,35.0,26.556,26.03,26.2,26.311,26.218,72.4435,0.5261,-0.1692,-0.1112,0.0928,109.4,-2.438,0.837,17.42,0.0,9.589,54.58028,78.12361,11.882455,7.604487,high_z_dropout_candidate
15309,dropout,35.0,26.243,26.151,26.013,26.45,26.691,72.757,0.0917,0.1386,-0.4368,-0.2418,20.47,-2.545,0.94,68.14,0.0,9.814,123.75659,39.59157,11.86657,7.5937643,high_z_dropout_candidate
23987,dropout,35.0,26.161,25.972,26.226,26.338,26.145,72.8387,0.1891,-0.254,-0.1113,0.1926,34.74,-2.686,0.991,144.28,0.0,10.054,265.1557,27.56692,11.860156,7.589434,high_z_dropout_candidate
11975,dropout,35.0,26.177,26.111,26.354,26.088,26.175,72.8228,0.0659,-0.2429,0.2663,-0.0874,41.63,-1.746,0.409,545.49,0.0,9.11,58.65974,-35.95484,11.849449,7.5822062,high_z_dropout_candidate
5216,dropout,35.0,26.26,26.413,25.778,25.814,26.457,72.7401,-0.1535,0.6351,-0.036,-0.6427,5.31,-2.315,0.813,33.06,0.0,9.942,176.41576,0.87088,11.831816,7.570303,high_z_dropout_candidate
13171,dropout,35.0,26.159,26.229,26.03,26.334,26.512,72.8406,-0.0697,0.1987,-0.304,-0.1772,48.61,-1.529,0.828,279.36,0.0,9.197,144.16172,-39.00145,11.819207,7.561792,high_z_dropout_candidate
24100,dropout,35.0,26.19,25.808,26.256,26.217,26.082,72.8105,0.3818,-0.4485,0.039,0.1353,9.35,-2.12,0.516,155.1,0.0,9.776,332.54488,68.49626,11.8124695,7.557244,high_z_dropout_candidate
33197,dropout,35.0,26.424,26.076,26.162,26.911,26.606,72.576,0.3475,-0.0853,-0.749,0.3051,13.68,-2.625,0.599,47.37,0.0,9.772,199.46061,6.6276,11.788377,7.54098,high_z_dropout_candidate
14292,dropout,35.0,26.254,26.044,25.994,25.801,25.971,72.7458,0.21,0.0504,0.1933,-0.1702,53.61,-2.515,0.566,8.81,0.0,9.013,348.93676,26.46518,11.788256,7.5408983,high_z_dropout_candidate
43072,dropout,35.0,25.999,26.338,26.201,26.181,26.178,73.0006,-0.3389,0.1375,0.0199,0.0032,22.44,-2.074,0.76,280.05,0.0,9.541,191.57289,51.11451,11.784241,7.538188,high_z_dropout_candidate
11687,dropout,35.0,26.166,26.031,25.946,26.04,26.195,72.8337,0.1358,0.0848,-0.0941,-0.1554,2.58,-2.457,0.708,105.3,0.0,10.171,156.1384,88.70386,11.775061,7.531991,high_z_dropout_candidate
43839,dropout,35.0,26.323,26.464,26.194,26.226,26.316,72.6771,-0.1411,0.2702,-0.0321,-0.0897,90.87,-1.931,0.656,139.17,0.0,9.887,320.80973,-24.37524,11.736796,7.506161,high_z_dropout_candidate
22062,dropout,35.0,28.156,28.315,28.577,28.564,28.403,70.844,-0.1594,-0.2617,0.0128,0.1612,314.43,-1.782,0.57,77.7,0.0,8.982,111.13107,7.564,11.7354355,7.5052423,ultra_high_z_candidate
9442,dropout,35.0,26.361,26.336,26.499,25.914,25.952,72.6391,0.0249,-0.1626,0.5849,-0.0379,93.58,-2.882,0.449,56.23,0.0,9.1,327.79475,53.78077,11.695583,7.4783406,high_z_dropout_candidate
5670,dropout,35.0,27.052,26.975,26.853,26.802,26.65,71.9481,0.0769,0.1223,0.0509,0.1513,195.97,-2.886,0.582,74.03,0.0,10.017,42.12767,40.26,11.652721,7.449407,high_z_dropout_candidate
2691,dropout,35.0,26.217,26.701,27.205,26.906,27.084,72.783,-0.4842,-0.5038,0.2989,-0.1778,6.13,-1.778,0.541,25.03,0.0,9.218,356.6021,72.32188,11.643143,7.4429407,high_z_dropout_candidate
34860,dropout,35.0,26.424,26.134,26.462,26.381,26.571,72.5756,0.2908,-0.3283,0.0806,-0.1899,68.54,-2.247,0.528,53.2,0.0,9.646,103.88215,16.81438,11.628404,7.4329915,high_z_dropout_candidate
36197,dropout,35.0,26.77,27.051,26.388,26.516,26.921,72.2304,-0.2815,0.6634,-0.1284,-0.4045,33.1,-2.882,0.714,840.28,0.0,8.982,89.3218,-85.19629,11.627609,7.432455,high_z_dropout_candidate
28606,dropout,35.0,26.535,26.749,26.999,26.684,26.861,72.4647,-0.2134,-0.2506,0.3153,-0.1772,41.02,-2.445,0.851,755.49,0.0,10.041,132.93194,56.20495,11.623941,7.4299793,high_z_dropout_candidate
30148,dropout,35.0,26.252,26.417,26.269,26.441,26.31,72.7481,-0.1648,0.148,-0.1721,0.1309,3.73,-2.876,0.605,32.19,0.0,10.125,187.02297,-29.75587,11.588894,7.4063206,high_z_dropout_candidate
32114,dropout,35.0,26.435,26.487,26.813,26.48,26.268,72.5646,-0.0518,-0.3262,0.3332,0.2122,113.44,-2.446,0.461,333.94,0.0,8.965,6.39456,-66.29326,11.570819,7.3941193,high_z_dropout_candidate
3191,dropout,35.0,26.238,26.344,26.904,26.385,26.636,72.7624,-0.1065,-0.56,0.5188,-0.2511,31.66,-1.679,0.975,239.07,0.0,10.017,163.70062,59.59713,11.5629,7.3887734,high_z_dropout_candidate
8007,dropout,35.0,27.787,28.031,27.894,28.047,27.634,71.2132,-0.2439,0.1366,-0.1527,0.4124,39.39,-2.518,0.843,1194.27,0.0,10.079,295.61733,-68.0447,11.549353,7.3796287,high_z_dropout_candidate
9854,dropout,35.0,26.679,26.471,26.437,26.337,26.623,72.321,0.2076,0.0341,0.0999,-0.2852,135.05,-1.772,0.407,221.42,0.0,9.291,243.94108,-18.56297,11.522626,7.361587,high_z_dropout_candidate
13230,dropout,35.0,26.318,26.89,26.315,26.117,26.204,72.6823,-0.5724,0.5754,0.1976,-0.0866,75.56,-2.77,0.398,308.78,0.0,9.782,247.73726,-82.54932,11.476597,7.3305154,high_z_dropout_candidate
40614,dropout,35.0,28.596,27.003,27.194,26.762,27.413,70.4041,1.5929,-0.1914,0.432,-0.6503,307.5,-1.831,0.331,415.34,0.0,11.448,272.4467,17.80231,11.468178,7.324832,high_z_dropout_candidate
2288,anomaly,28.293,24.833,25.738,28.548,24.791,27.906,3.46,-0.9049,-2.8099,3.7568,-3.1149,47.66,1.63,2.894,103.17,17.66,11.553,38.56372,-68.56986,11.465864,7.3232703,ultra_high_z_candidate
40965,dropout,35.0,26.505,26.344,26.177,26.428,26.087,72.4954,0.1605,0.1668,-0.2509,0.3413,1.27,-2.174,0.912,678.1,0.0,9.297,290.70749,-70.29868,11.451793,7.3137717,high_z_dropout_candidate
16569,dropout,35.0,26.348,26.037,25.888,26.057,26.247,72.6515,0.3114,0.1491,-0.1689,-0.1905,13.97,-2.728,0.305,204.61,0.0,9.966,136.13319,-17.36608,11.444423,7.3087964,high_z_dropout_candidate
43806,dropout,35.0,26.484,26.472,26.402,26.686,26.351,72.5161,0.0123,0.07,-0.2846,0.3347,81.53,-2.559,0.619,125.45,0.0,9.173,47.69689,-82.16254,11.37666,7.263054,high_z_dropout_candidate
15340,dropout,35.0,26.376,26.463,26.732,26.48,26.528,72.6243,-0.0876,-0.269,0.2526,-0.0486,9.61,-2.648,0.445,2.17,0.0,9.728,237.34835,-39.16295,11.329448,7.2311835,high_z_dropout_candidate
20742,dropout,35.0,26.48,26.656,26.295,26.622,26.112,72.5204,-0.1766,0.3616,-0.3271,0.5101,67.12,-2.275,0.445,162.72,0.0,10.196,293.4579,82.04074,11.326796,7.229393,high_z_dropout_candidate
3026,dropout,35.0,27.216,27.09,27.499,27.327,27.218,71.7841,0.1256,-0.4086,0.1714,0.1093,188.3,-2.819,0.58,96.5,0.0,9.952,48.25417,61.01022,11.325825,7.228738,high_z_dropout_candidate
19146,dropout,35.0,26.305,26.592,26.73,26.627,26.491,72.695,-0.2867,-0.1383,0.1031,0.1356,44.41,-2.833,0.884,87.76,0.0,9.073,41.14188,12.87808,11.324635,7.2279344,high_z_dropout_candidate
34329,dropout,35.0,26.349,25.919,26.016,25.917,25.908,72.6506,0.4308,-0.0977,0.0997,0.0085,8.86,-2.796,0.437,254.3,0.0,9.678,225.38783,88.65381,11.313502,7.22042,high_z_dropout_candidate
39480,dropout,35.0,26.66,26.724,26.799,26.599,26.597,72.34,-0.0637,-0.0756,0.2007,0.0021,118.52,-2.212,0.697,82.22,0.0,9.53,129.90765,-13.44438,11.298674,7.2104096,high_z_dropout_candidate
29309,dropout,35.0,26.523,26.393,26.353,26.62,26.711,72.4769,0.1302,0.0403,-0.267,-0.0919,72.43,-1.827,0.85,153.59,0.0,9.628,153.29761,46.11817,11.289163,7.2039895,high_z_dropout_candidate
48893,dropout,35.0,27.237,26.801,27.065,26.956,26.893,71.7626,0.436,-0.2638,0.1089,0.0637,53.29,-1.503,0.346,942.01,0.0,10.122,230.37253,-73.90394,11.225398,7.1609454,high_z_dropout_candidate
41728,dropout,35.0,26.697,26.504,26.977,26.777,26.686,72.3031,0.1934,-0.473,0.1998,0.0908,79.6,-2.015,0.371,575.57,0.0,10.118,197.83038,-83.36551,11.217256,7.155449,high_z_dropout_candidate
17642,dropout,35.0,26.645,26.684,26.749,27.008,27.171,72.3551,-0.0393,-0.0649,-0.2593,-0.163,92.83,-2.861,0.918,325.85,0.0,9.399,308.80416,3.22798,11.122798,7.0916862,high_z_dropout_candidate
1032,dropout,35.0,26.695,26.467,27.044,26.693,27.071,72.3046,0.2283,-0.5765,0.3506,-0.3784,83.52,-1.825,0.778,173.76,0.0,9.893,354.0954,12.43318,11.110531,7.0834055,high_z_dropout_candidate
36044,dropout,35.0,28.374,27.263,27.09,26.966,27.068,70.626,1.1114,0.1724,0.1238,-0.1018,26.29,-2.402,0.565,1265.15,0.0,10.235,340.58274,-66.61983,11.106399,7.080616,high_z_dropout_candidate
17125,dropout,35.0,26.479,26.273,26.428,26.401,26.51,72.5215,0.2053,-0.1547,0.0271,-0.1093,5.81,-2.574,0.4,98.06,0.0,9.896,105.91917,-49.41902,11.101141,7.077067,high_z_dropout_candidate
18064,dropout,35.0,26.394,26.521,26.709,26.532,26.401,72.606,-0.1266,-0.1883,0.1766,0.1316,20.63,-1.801,0.963,431.69,0.0,10.194,325.65868,32.57341,11.090907,7.0701585,high_z_dropout_candidate
19539,dropout,35.0,27.591,27.974,27.33,27.791,28.051,71.4093,-0.3835,0.6441,-0.4613,-0.2596,80.83,-2.935,0.682,948.73,0.0,9.86,113.8724,22.79678,11.085275,7.066356,ultra_high_z_candidate
5774,dropout,35.0,28.438,28.791,28.964,28.797,28.678,70.5615,-0.3525,-0.1726,0.1668,0.1188,304.38,-1.6,0.542,83.25,0.0,9.916,177.52516,51.2645,11.069098,7.0554366,ultra_high_z_candidate
43162,dropout,35.0,27.042,27.092,27.214,27.042,26.801,71.958,-0.05,-0.1218,0.1722,0.2408,49.6,-1.823,0.984,875.2,0.0,9.392,351.12745,16.30193,11.03704,7.033796,high_z_dropout_candidate
22581,dropout,35.0,26.521,26.348,26.513,26.277,26.1,72.4793,0.1723,-0.1651,0.2367,0.1764,52.12,-1.648,0.656,105.47,0.0,9.559,12.69284,-40.18879,11.022152,7.023746,high_z_dropout_candidate
29916,dropout,35.0,28.377,28.54,28.631,28.541,28.93,70.6232,-0.1631,-0.0915,0.0909,-0.3893,302.78,-1.658,0.359,408.36,0.0,9.6,337.55265,-21.64819,11.019552,7.021991,ultra_high_z_candidate
9212,dropout,35.0,27.684,25.835,26.099,25.812,26.245,71.3164,1.8484,-0.2634,0.2869,-0.4333,97.16,-1.846,0.826,757.14,0.0,10.816,226.17272,-44.27583,11.006685,7.013305,high_z_dropout_candidate
23916,anomaly,22.564,22.604,24.265,21.703,25.451,22.096,-0.0399,-1.6611,2.562,-3.7479,3.3551,125.34,-1.374,1.482,384.53,51.38,2.706,196.82607,-58.39872,10.998172,7.0075583,unclassified
4061,dropout,35.0,26.78,26.796,26.88,26.871,27.171,72.2196,-0.0151,-0.0843,0.0092,-0.3004,22.91,-1.882,0.473,703.39,0.0,9.358,329.01388,-70.51386,10.971062,6.989258,high_z_dropout_candidate
30591,dropout,35.0,26.741,26.795,27.185,26.462,26.845,72.2591,-0.0538,-0.3908,0.7233,-0.383,31.1,-2.53,0.543,640.75,0.0,9.724,300.92385,-62.11117,10.943024,6.9703307,high_z_dropout_candidate
48908,dropout,35.0,26.664,26.421,26.891,26.84,27.011,72.3355,0.2433,-0.4695,0.0505,-0.1709,41.24,-2.652,0.697,84.15,0.0,9.873,303.78432,17.98281,10.933877,6.9641566,high_z_dropout_candidate
